consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.074999809,PAST,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.18599987,PASTI,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.319000006,PASTIL,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.503999949,PASTILL,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.569000006,PASTILLE,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.70299983,PASTILLE,FALSE,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,2.70299983,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,pastel,Spanish,Sounds/spa_pastel.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,73,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,2.68599987,F,FALSE,,,,,,,28,cielo,Spanish,Sounds/spa_cielo.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,25,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.768999815,FE,FALSE,,,,,,,28,cielo,Spanish,Sounds/spa_cielo.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,25,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.852999926,FEL,FALSE,,,,,,,28,cielo,Spanish,Sounds/spa_cielo.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,1,0,98,25,1,97
