consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,participant,session,date,expName,psychopyVersion,OS,frameRate,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.815999985,MO,TRUE,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,44,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.94900012,MOO,TRUE,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,44,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.098999977,MOON,TRUE,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,44,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.265000105,MOON,TRUE,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,3.265000105,1,0,81,44,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,lluna,Catalan,Sounds/cat_lluna.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,44,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.650000095,,FALSE,,,,,,,144,gorra,Catalan,Sounds/cat_gorra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,5.650000095,1,0,81,38,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,gorra,Catalan,Sounds/cat_gorra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,38,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.25,D,FALSE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.332000017,DO,FALSE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.416000128,DOG,FALSE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.848999977,D,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.016000032,,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.18200016,,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,4.700999975,P,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.851000071,PI,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.933000088,PIE,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,5.065999985,PIEC,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.21600008,PIECE,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.300000191,PIECE,TRUE,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,5.300000191,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,peu,Catalan,Sounds/cat_peu.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,58,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.667000055,C,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.766000032,CH,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.866999865,CHI,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.915999889,CHIC,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,3.065999985,CHICK,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.116999865,CHICKE,FALSE,,,,,,,171,pollastre,Catalan,Sounds/cat_pollastre.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,63,1,80
