consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.019000053,BANANA,FALSE,,,,,,,110,berenar,Catalan,Sounds/cat_berenar.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,2.019000053,1,0,81,5,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,berenar,Catalan,Sounds/cat_berenar.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,5,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,0.851000071,P,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.315999985,PO,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.416000128,POT,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.615999937,POTA,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.71600008,POTAT,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.900000095,POTATO,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.183000088,POTATO,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,2.183000088,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,56,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.698999882,O,FALSE,,,,,,,184,ull,Catalan,Sounds/cat_ull.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,75,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1.882999897,OI,FALSE,,,,,,,184,ull,Catalan,Sounds/cat_ull.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,75,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.065999985,OIL,FALSE,,,,,,,184,ull,Catalan,Sounds/cat_ull.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,75,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.248999834,OIL,FALSE,,,,,,,184,ull,Catalan,Sounds/cat_ull.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,2.248999834,1,0,81,75,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,ull,Catalan,Sounds/cat_ull.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,75,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.800000191,B,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.833000183,BR,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,1.999000072,BRU,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.133000135,BRUC,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.21600008,BRUCH,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.340000153,BRUCHE,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.583000183,BRUCHET,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.73300004,BRUCHETT,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.800000191,BRUCHETTA,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.933000088,BRUCHETTA,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,2.933000088,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.450999975,A,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,1.582000017,AU,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.648999929,AUS,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.832000017,AUST,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.888000011,AUSTR,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.046000004,AUSTRA,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.098999977,AUSTRAL,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.266000032,AUSTRALI,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.398999929,AUSTRALIA,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,,1,0,81,26,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.532999992,AUSTRALIA,FALSE,,,,,,,132,estrella,Catalan,Sounds/cat_estrella.mp3,2020-06-05_16h21.27.837,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c2fb1412c45d400014ae103,2.532999992,1,0,81,26,1,80
