consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.585000038,SHI,FALSE,,,,,,,23,cerdo,Spanish,Sounds/spa_cerdo.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,21,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.667000055,SHIR,FALSE,,,,,,,23,cerdo,Spanish,Sounds/spa_cerdo.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,21,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.844000101,SHIRT,FALSE,,,,,,,23,cerdo,Spanish,Sounds/spa_cerdo.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,21,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.965000153,SHIRT,FALSE,,,,,,,23,cerdo,Spanish,Sounds/spa_cerdo.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,3.965000153,1,0,98,21,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,cerdo,Spanish,Sounds/spa_cerdo.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,21,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,4.306999922,P,FALSE,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.414999962,PA,FALSE,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,4.635999918,PAT,FALSE,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,4.736999989,PATH,FALSE,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.066999912,PATH,FALSE,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,5.066999912,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,pez,Spanish,Sounds/spa_pez.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,78,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.325999975,S,FALSE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.404000044,,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,3.779999971,W,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.236999989,,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,4.444999933,G,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.64199996,GI,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.815000057,GIR,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,4.916000128,GIRL,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,,1,0,98,97,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.256000042,GIRL,TRUE,,,,,,,103,zanahoria,Spanish,Sounds/spa_zanahoria.mp3,2020-06-24_18h26.16.849,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e9b959c77f86e0a8314b0e8,5.256000042,1,0,98,97,1,97
