consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,trialOffset,keyPressTime,keyPressed,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865999937,1.865999937,return,,FALSE,,,,,,,45,gorro,Spanish,Sounds/spa_gorro.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,41,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,gorro,Spanish,Sounds/spa_gorro.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,41,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.516000032,1.516000032,return,,FALSE,,,,,,,34,ensalada,Spanish,Sounds/spa_ensalada.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,30,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,ensalada,Spanish,Sounds/spa_ensalada.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,30,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.049999952,2.049999952,return,,FALSE,,,,,,,75,pan,Spanish,Sounds/spa_pan.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,70,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,pan,Spanish,Sounds/spa_pan.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,70,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26699996,space, ,FALSE,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.134000063,apostrophe, ',FALSE,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.200999975,backspace, ,TRUE,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.601000071,backspace,,TRUE,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.250999928,9.250999928,return,,TRUE,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,platano,Spanish,Sounds/spa_platano.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,82,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.465999842,2.465999842,return,,FALSE,,,,,,,3,barco,Spanish,Sounds/spa_barco.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,1,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,barco,Spanish,Sounds/spa_barco.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,1,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284000158,t,T,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400000095,o,TO,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.534000158,m,TOM,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.717000008,a,TOMA,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.002000093,t,TOMAT,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.134000063,o,TOMATO,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.550000191,2.550000191,return,TOMATO,FALSE,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,tomate,Spanish,Sounds/spa_tomate.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,93,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.632999897,1.632999897,return,,FALSE,,,,,,,84,pie,Spanish,Sounds/spa_pie.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,79,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,pie,Spanish,Sounds/spa_pie.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,79,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.433000088,b,B,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.565999985,a,BA,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.883000135,t,BAT,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,o,BATO,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.050000191,n,BATON,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.302000046,3.302000046,return,BATON,FALSE,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,boton,Spanish,Sounds/spa_boton.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,9,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198999882,2.198999882,return,,FALSE,,,,,,,80,pato,Spanish,Sounds/spa_pato.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,75,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,pato,Spanish,Sounds/spa_pato.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,75,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48300004,1.48300004,return,,FALSE,,,,,,,98,tobogan,Spanish,Sounds/spa_tobogan.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,92,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,tobogan,Spanish,Sounds/spa_tobogan.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,92,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.317000151,1.317000151,return,,FALSE,,,,,,,9,boli,Spanish,Sounds/spa_boli.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,7,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,boli,Spanish,Sounds/spa_boli.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,7,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.449999809,c,C,FALSE,,,,,,,16,caja,Spanish,Sounds/spa_caja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,14,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.633999825,a,CA,FALSE,,,,,,,16,caja,Spanish,Sounds/spa_caja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,14,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.816999912,r,CAR,FALSE,,,,,,,16,caja,Spanish,Sounds/spa_caja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,14,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.967000008,1.967000008,return,CAR,FALSE,,,,,,,16,caja,Spanish,Sounds/spa_caja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,14,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,caja,Spanish,Sounds/spa_caja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,14,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.132999897,1.132999897,return,,FALSE,,,,,,,10,botella,Spanish,Sounds/spa_botella.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,8,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,botella,Spanish,Sounds/spa_botella.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,8,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51699996,1.51699996,return,,FALSE,,,,,,,73,oveja,Spanish,Sounds/spa_oveja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,68,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,oveja,Spanish,Sounds/spa_oveja.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,68,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400000095,1.400000095,return,,FALSE,,,,,,,14,burro,Spanish,Sounds/spa_burro.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,12,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,burro,Spanish,Sounds/spa_burro.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,12,1,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.682999849,1.682999849,return,,FALSE,,,,,,,52,lapiz,Spanish,Sounds/spa_lapiz.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,1,0,98,48,1,97
