consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.651000023,COO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.800000191,CO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.950000048,COR,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.050000191,CORO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,4.218000174,CORON,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.301000118,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.751000166,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,4.751000166,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1.599999905,I,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,1.983999968,,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.115999937,,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.200999975,E,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.415999889,EN,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.03399992,ENG,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.184999943,ENGL,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.250999928,ENGLA,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.349999905,ENGLAN,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,3.417999983,ENGLAND,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.585999966,ENGLAND,TRUE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,3.585999966,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.648000002,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.982999802,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.031999826,HEL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.181999922,HELL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.315999985,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.431999922,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,2.431999922,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1.184000015,J,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.249000072,JA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.46600008,JAC,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1.584000111,JACK,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.782999992,JACKE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.982000113,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.148999929,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,2.148999929,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_18h38.16.523,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5dd693492b033b61545beaee,,,,,,,
