frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
78	0.078	0.00225	800.696	741.108	2999.908	1571.906	3984.670	1215.904
79	0.079	0.00244	708.925	1643.229	3317.149	1438.695	--undefined--	--undefined--
80	0.080	0.00244	2200.714	1176.958	3695.400	1273.870	--undefined--	--undefined--
81	0.081	0.00129	1235.262	954.602	2317.214	759.949	--undefined--	--undefined--
82	0.082	0.00129	1189.480	748.510	2504.398	1059.717	3871.119	862.510
83	0.083	0.00086	2155.217	763.371	3914.254	442.691	--undefined--	--undefined--
84	0.084	0.00072	2162.325	1279.138	3252.333	1679.735	--undefined--	--undefined--
85	0.085	0.00072	1974.879	1342.541	3794.133	865.170	--undefined--	--undefined--
86	0.086	0.00054	1151.863	1275.317	2213.829	1036.374	--undefined--	--undefined--
87	0.087	0.00018	948.416	1216.224	3440.551	639.942	--undefined--	--undefined--
88	0.088	0.00061	1577.331	1337.830	2799.421	928.857	4113.315	1502.878
89	0.089	0.00061	1719.598	774.837	2554.640	809.348	4277.505	506.666
90	0.090	0.00043	816.252	1454.157	3476.652	898.399	--undefined--	--undefined--
91	0.091	0.00046	2154.952	1399.461	3045.041	2657.249	4705.514	1221.272
92	0.092	0.00188	1923.443	777.494	3023.747	1108.390	4915.281	1063.863
93	0.093	0.00188	2151.135	785.061	3245.520	567.646	4158.970	453.157
94	0.094	0.00113	1723.854	954.788	2928.363	811.782	3918.058	462.668
95	0.095	0.00381	1972.880	859.242	3006.854	575.107	--undefined--	--undefined--
96	0.096	0.00541	2257.182	1090.209	3335.568	754.997	4257.121	794.114
97	0.097	0.00541	2280.523	463.675	3203.665	516.163	4098.857	645.990
98	0.098	0.00573	2091.365	421.135	2964.622	408.541	--undefined--	--undefined--
99	0.099	0.00826	2475.731	560.000	3372.688	551.621	4242.985	496.939
100	0.100	0.00826	2439.067	581.040	3445.962	649.393	4420.959	877.335
101	0.101	0.02318	2111.237	540.761	3175.853	595.200	4282.909	622.729
102	0.102	0.02372	1844.488	1001.313	3520.532	332.423	4323.864	364.921
103	0.103	0.02372	2358.445	400.512	3327.528	438.838	4382.750	1635.480
104	0.104	0.00982	2059.219	744.748	4109.922	715.591	4823.839	1556.712
105	0.105	0.01237	2097.647	609.292	3852.550	1203.337	4323.526	747.152
106	0.106	0.01237	2344.614	306.692	3246.888	325.464	4774.588	1915.274
107	0.107	0.00815	2127.677	525.577	3625.087	826.528	4561.070	752.132
108	0.108	0.00864	2488.742	799.135	3471.247	625.148	4319.438	586.575
109	0.109	0.00864	2291.297	628.793	3247.631	535.036	4173.721	472.984
110	0.110	0.00661	2171.540	570.541	3238.051	478.246	--undefined--	--undefined--
111	0.111	0.01028	1736.761	2258.494	2911.621	450.807	5044.095	663.602
112	0.112	0.01028	3223.807	765.653	3442.640	3916.605	4237.944	931.924
113	0.113	0.00420	2124.425	613.809	3137.068	762.824	4971.539	817.375
114	0.114	0.00359	2379.487	1282.829	3408.109	1013.918	4265.798	1314.912
115	0.115	0.00403	2317.188	588.796	3458.452	729.193	4846.879	821.671
116	0.116	0.00403	2041.281	703.116	3184.365	620.529	4511.503	2046.962
117	0.117	0.01160	1807.120	776.507	4134.882	524.072	5067.875	423.797
118	0.118	0.01668	2356.723	391.610	3329.367	426.631	4426.887	1734.111
119	0.119	0.01668	1991.890	683.568	3800.804	1851.635	4236.240	634.465
120	0.120	0.01497	2058.458	636.476	3353.451	737.925	4109.754	1092.972
121	0.121	0.02386	2486.905	381.153	3485.415	453.885	4565.992	700.093
122	0.122	0.02386	2189.474	469.312	3224.528	667.602	4505.508	457.870
123	0.123	0.01590	2235.360	629.294	3273.450	479.079	4136.109	417.935
124	0.124	0.01590	2717.687	456.198	3638.073	604.806	4525.318	1097.494
125	0.125	0.02157	2282.466	386.370	3379.527	961.833	4801.552	720.977
126	0.126	0.02157	2268.175	464.984	3235.919	533.612	4351.848	541.762
127	0.127	0.01143	2567.257	426.945	3451.108	413.454	4847.453	1627.519
128	0.128	0.02286	2669.892	725.674	3558.839	684.058	4426.060	881.990
129	0.129	0.02286	2483.391	423.872	3619.044	458.741	4632.684	586.120
130	0.130	0.03231	2610.280	913.236	3563.488	758.093	4531.766	1009.652
131	0.131	0.03391	2412.074	744.600	3487.140	489.927	4358.719	513.739
132	0.132	0.03391	2102.046	485.138	3466.779	724.865	4429.096	644.150
133	0.133	0.01270	2098.847	454.101	3248.371	616.167	4403.762	673.693
134	0.134	0.02668	1676.310	573.491	3146.958	1781.820	4287.853	473.325
135	0.135	0.04133	2236.738	562.323	3468.530	521.489	4436.393	908.370
136	0.136	0.05446	2518.887	510.493	3430.320	427.245	4264.419	451.968
137	0.137	0.08303	2713.289	657.423	3639.692	626.577	4595.130	860.843
138	0.138	0.08303	2395.867	564.383	3255.580	425.904	4058.119	334.738
139	0.139	0.05044	2480.345	1249.243	3614.528	682.696	4500.165	822.127
140	0.140	0.05044	2543.737	443.626	3439.474	485.724	4350.114	640.640
141	0.141	0.03057	3039.088	828.072	3863.634	1258.092	4665.337	2702.441
142	0.142	0.02715	2485.503	635.888	3599.202	485.129	4461.786	474.057
143	0.143	0.02315	1988.151	1194.066	3399.356	347.151	--undefined--	--undefined--
144	0.144	0.02315	2033.001	993.110	3723.956	390.796	4789.499	634.307
145	0.145	0.02697	1985.987	850.030	3501.734	286.464	--undefined--	--undefined--
146	0.146	0.05450	2086.770	1930.415	3692.288	549.172	4831.244	788.838
147	0.147	0.05450	2303.938	915.726	3577.721	675.960	4592.186	962.443
