frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
80	0.080	0.01361	896.574	842.399	1845.272	653.450	--undefined--	--undefined--
81	0.081	0.07257	1268.983	558.320	2903.478	2670.622	--undefined--	--undefined--
82	0.082	0.07257	1136.708	654.676	1948.886	1415.519	4074.215	518.591
83	0.083	0.02095	837.435	512.739	1693.255	454.499	4020.505	1073.799
84	0.084	0.09233	1123.005	722.445	2016.369	703.989	--undefined--	--undefined--
85	0.085	0.09233	1289.916	591.054	2124.220	5295.947	4168.547	774.837
86	0.086	0.06321	1063.577	3403.526	1323.353	678.267	4278.020	1293.381
87	0.087	0.01176	826.983	930.080	1727.623	750.629	4546.659	1536.573
88	0.088	0.04862	1258.838	718.085	2370.377	2196.103	4375.242	1195.786
89	0.089	0.04862	1358.640	650.000	4101.161	660.972	--undefined--	--undefined--
90	0.090	0.03048	1006.785	862.670	1702.873	918.955	--undefined--	--undefined--
91	0.091	0.05174	1095.105	632.503	1877.636	875.972	--undefined--	--undefined--
92	0.092	0.05174	1412.442	678.293	4153.447	673.452	--undefined--	--undefined--
93	0.093	0.03566	1067.597	669.669	1834.326	990.427	4143.484	703.126
94	0.094	0.08489	975.492	526.690	1805.468	523.718	--undefined--	--undefined--
95	0.095	0.08489	1356.097	606.146	4083.360	613.186	--undefined--	--undefined--
96	0.096	0.07866	1223.208	684.124	1897.018	1981.484	4394.848	1094.534
97	0.097	0.01592	769.327	713.200	1698.010	603.660	3109.048	1280.313
98	0.098	0.04301	1274.040	672.472	2379.467	1519.041	4126.303	1266.869
99	0.099	0.04301	819.540	2928.781	1390.294	749.065	4125.079	594.928
100	0.100	0.02894	883.292	563.064	1704.758	478.662	4422.915	1627.995
101	0.101	0.06652	1091.706	612.276	1816.124	607.337	4637.338	903.596
102	0.102	0.06652	1342.195	787.388	1537.471	2368.536	4158.884	551.162
103	0.103	0.02535	1043.572	748.194	1955.269	827.730	2876.598	4333.071
104	0.104	0.04902	1282.350	507.314	2255.584	738.035	--undefined--	--undefined--
105	0.105	0.04902	1135.184	3976.615	1400.690	827.868	4222.253	912.611
106	0.106	0.03537	1056.673	685.173	1795.389	771.950	4063.762	560.483
107	0.107	0.05769	1215.720	3812.595	1328.093	511.007	4195.985	1099.228
108	0.108	0.07187	1252.867	689.673	1988.129	1717.372	4172.441	595.010
109	0.109	0.07187	967.741	876.001	1782.288	760.122	4345.218	1224.913
110	0.110	0.03430	913.589	643.917	1774.559	626.703	3832.907	1355.150
111	0.111	0.05197	713.480	3663.497	1450.445	678.906	4171.758	633.804
112	0.112	0.05197	1130.482	659.631	1968.837	981.510	4190.798	1244.289
113	0.113	0.03011	759.331	647.177	1706.222	505.180	3903.405	723.913
114	0.114	0.03550	1447.665	946.834	1478.835	2203.551	4063.058	591.085
115	0.115	0.03550	1156.048	708.276	1946.704	1076.562	4229.407	988.103
116	0.116	0.02475	787.869	756.945	1657.542	577.726	4365.762	700.363
117	0.117	0.04206	1500.834	996.624	1671.960	4340.136	4025.397	793.535
118	0.118	0.04206	1021.488	537.261	1891.418	547.522	3999.763	694.257
119	0.119	0.03048	809.137	591.091	1721.935	460.185	4470.541	1315.412
120	0.120	0.04316	794.458	4269.763	1521.717	1071.241	4057.610	948.265
121	0.121	0.04316	1091.943	615.257	1911.825	735.098	4101.961	526.125
122	0.122	0.02989	805.062	757.327	1726.513	590.445	4241.260	1134.892
123	0.123	0.04289	1464.605	773.065	4075.560	821.972	--undefined--	--undefined--
124	0.124	0.04289	1073.266	521.493	1940.373	615.044	3913.074	600.848
125	0.125	0.03599	801.156	857.443	1704.947	622.202	4153.862	587.210
126	0.126	0.05438	1287.281	4348.924	1420.677	667.577	4083.494	652.204
127	0.127	0.05438	1011.930	777.161	1893.813	785.883	3913.738	782.135
128	0.128	0.04031	756.826	687.743	1630.525	484.360	3896.628	496.114
129	0.129	0.03830	1300.945	815.168	2650.378	2748.765	4067.455	927.326
130	0.130	0.03830	982.704	542.705	1849.373	511.625	3844.072	486.621
131	0.131	0.02997	1105.009	666.793	2144.814	950.564	4007.798	889.523
132	0.132	0.04855	1027.472	699.778	1874.573	663.801	4076.819	517.811
133	0.133	0.04855	936.885	523.667	1834.440	445.190	3711.910	977.712
134	0.134	0.03308	2348.761	946.900	3789.892	1849.324	--undefined--	--undefined--
135	0.135	0.04849	1055.813	823.606	1927.795	908.034	3996.111	681.309
136	0.136	0.04849	998.683	434.016	1874.950	440.147	4109.214	2109.854
137	0.137	0.03317	1128.605	1176.296	3896.088	586.419	--undefined--	--undefined--
138	0.138	0.03388	1033.192	495.904	1908.071	497.342	4060.974	829.912
139	0.139	0.03388	752.052	588.873	1760.535	444.976	4174.359	1275.573
140	0.140	0.03258	976.891	915.275	1913.823	988.507	3949.016	806.830
141	0.141	0.03258	992.499	374.134	1856.385	351.285	3754.753	1134.842
142	0.142	0.02119	962.656	707.781	3740.027	765.769	--undefined--	--undefined--
143	0.143	0.02833	996.159	778.538	1874.662	779.501	3979.222	676.649
144	0.144	0.02833	964.729	413.801	1809.860	426.419	3809.625	952.508
145	0.145	0.04040	505.867	6227.194	1246.660	548.836	3965.467	693.964
146	0.146	0.04040	904.754	658.878	1844.751	578.233	3545.925	899.344
147	0.147	0.02870	1121.779	691.533	1839.275	3301.095	3444.084	2818.720
148	0.148	0.02870	1024.076	476.103	1875.966	502.615	4136.005	589.968
149	0.149	0.02166	896.426	624.917	1770.710	540.450	3564.792	1311.364
150	0.150	0.02848	1141.936	2182.227	1338.934	954.021	3996.498	693.737
151	0.151	0.02848	936.747	449.031	1818.104	391.372	3796.326	991.377
152	0.152	0.03131	915.728	746.003	1688.653	894.204	3577.721	447.612
153	0.153	0.03131	1048.672	553.595	1848.388	610.620	4052.879	494.241
154	0.154	0.03853	937.070	711.200	1770.121	712.496	3866.576	728.927
155	0.155	0.03853	988.625	883.153	1736.458	909.905	3981.646	587.832
156	0.156	0.03311	913.135	565.889	1789.772	494.283	4058.414	662.465
157	0.157	0.03508	917.553	742.514	1664.802	640.432	4068.443	637.420
158	0.158	0.03508	1034.846	517.236	1846.044	551.446	3924.538	411.674
159	0.159	0.02978	1141.127	862.177	1708.594	1307.046	4010.398	828.136
160	0.160	0.03040	1180.282	829.884	1722.964	1146.841	4055.372	598.507
161	0.161	0.03040	868.853	829.030	1822.722	702.060	3997.677	638.787
162	0.162	0.03303	1127.740	855.654	1879.356	1263.627	4005.706	1105.207
163	0.163	0.03303	988.900	694.566	1871.571	621.066	3931.384	631.939
164	0.164	0.02956	955.597	855.826	1624.018	735.411	4279.411	517.610
165	0.165	0.02956	984.606	708.016	1923.772	688.328	3635.985	736.691
166	0.166	0.02987	1197.954	816.333	1615.628	1401.245	3963.858	601.978
167	0.167	0.03805	950.491	975.629	1904.558	965.932	3861.759	837.050
168	0.168	0.03805	1078.206	680.616	1871.383	863.321	4011.609	503.014
169	0.169	0.03341	966.034	549.074	1855.067	508.593	4189.235	996.685
170	0.170	0.03341	1028.308	429.248	1930.011	385.736	4042.365	832.050
171	0.171	0.04610	1004.006	436.312	1793.683	493.401	3975.468	714.249
172	0.172	0.04610	1110.945	757.150	1922.374	893.056	4154.252	780.205
173	0.173	0.03715	1237.782	491.854	3771.594	1429.010	--undefined--	--undefined--
174	0.174	0.03627	1065.312	1058.802	1955.187	1072.241	4099.883	1012.277
175	0.175	0.03627	1066.186	562.301	1976.684	735.115	3857.636	980.356
176	0.176	0.02830	1278.637	530.330	2283.614	652.738	4441.635	1593.172
177	0.177	0.02830	1079.091	620.081	1998.935	595.501	4030.602	934.542
178	0.178	0.02341	1594.735	728.605	3730.134	1148.082	--undefined--	--undefined--
179	0.179	0.02341	1089.572	762.132	2016.599	819.835	3977.209	686.095
180	0.180	0.01803	1244.929	539.453	3739.190	803.691	--undefined--	--undefined--
181	0.181	0.01803	1393.918	671.831	1729.208	2328.602	4169.155	659.514
182	0.182	0.01403	764.940	983.205	1893.477	866.260	4007.904	829.407
183	0.183	0.02709	1425.720	1252.759	2201.210	3553.253	4128.860	1939.690
184	0.184	0.02709	1191.777	693.864	2137.287	1018.883	3853.560	1678.040
185	0.185	0.02089	1573.657	1369.063	2848.439	1850.074	--undefined--	--undefined--
186	0.186	0.02089	1075.813	782.257	1974.847	706.333	3901.322	1345.475
187	0.187	0.02270	1105.398	760.023	2276.420	1194.472	5014.306	1013.764
188	0.188	0.02270	1127.174	517.784	2047.616	588.022	3972.616	800.220
189	0.189	0.01297	1233.690	899.156	2731.861	1659.772	4107.998	1227.348
190	0.190	0.02023	1167.342	915.598	2047.385	1152.952	3976.971	826.853
