frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
79	0.079	0.00752	978.138	918.707	1945.168	791.003	3246.643	606.502
80	0.080	0.01326	1041.668	692.655	2083.113	1153.994	3906.549	1102.412
81	0.081	0.01326	991.942	686.505	1861.710	896.858	3500.590	1211.928
82	0.082	0.01552	1200.021	665.440	3377.949	2926.167	--undefined--	--undefined--
83	0.083	0.01552	839.979	966.175	1600.216	784.691	3842.423	771.332
84	0.084	0.00852	994.665	1353.838	1415.047	806.726	3482.020	572.653
85	0.085	0.01088	1177.584	601.163	2849.451	1599.726	--undefined--	--undefined--
86	0.086	0.01088	954.961	1308.990	1598.133	988.579	5368.653	3547.325
87	0.087	0.00670	1305.044	736.669	2481.662	1271.711	--undefined--	--undefined--
88	0.088	0.01060	924.986	1061.401	1736.285	1170.963	3742.224	1087.253
89	0.089	0.01060	1252.203	745.663	2706.152	1282.108	--undefined--	--undefined--
90	0.090	0.00716	1376.830	582.363	2562.947	1343.873	--undefined--	--undefined--
91	0.091	0.00716	1035.881	618.321	1885.236	980.758	3371.457	1480.216
92	0.092	0.00464	1181.163	735.631	2485.940	1737.755	--undefined--	--undefined--
93	0.093	0.00532	1074.096	623.640	2120.501	1058.840	3797.917	975.744
94	0.094	0.00532	1158.042	639.321	2276.543	1198.202	--undefined--	--undefined--
95	0.095	0.00343	1668.061	697.765	3255.420	2046.844	--undefined--	--undefined--
96	0.096	0.00343	633.662	660.210	1604.450	556.979	3529.054	586.923
97	0.097	0.00260	754.283	572.527	1627.235	490.503	4443.833	1440.667
98	0.098	0.00137	953.705	950.172	2263.458	1580.842	3898.837	1308.112
99	0.099	0.00137	1011.761	829.428	1960.917	1080.765	3575.901	979.995
100	0.100	0.00047	1019.896	921.957	3547.861	1127.937	--undefined--	--undefined--
101	0.101	0.00079	477.253	1204.271	1360.966	780.269	3700.276	525.564
102	0.102	0.00079	1336.101	623.173	2996.071	858.968	5040.432	3977.059
103	0.103	0.00047	717.280	5832.993	752.079	1274.597	3346.368	838.420
104	0.104	0.00071	1232.823	547.766	1967.497	1038.283	4278.816	1591.899
105	0.105	0.00071	675.004	806.376	1696.379	550.710	3461.193	1608.916
106	0.106	0.00049	1128.404	690.974	2258.873	931.705	--undefined--	--undefined--
107	0.107	0.00049	443.337	1230.853	1271.904	713.817	3600.416	1107.594
