frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
301	0.301	0.00070	629.624	839.718	1676.085	1400.069	5361.466	1766.308
302	0.302	0.00039	962.055	746.488	1468.024	2899.875	--undefined--	--undefined--
303	0.303	0.00067	769.512	426.092	2348.936	1712.583	--undefined--	--undefined--
304	0.304	0.00067	568.246	850.441	1622.858	1337.433	--undefined--	--undefined--
305	0.305	0.00036	454.440	477.568	1343.726	450.350	4891.545	912.785
306	0.306	0.00068	791.781	427.776	2620.592	797.731	--undefined--	--undefined--
307	0.307	0.00068	883.519	802.718	2361.966	1734.309	--undefined--	--undefined--
308	0.308	0.00036	484.469	409.664	1383.939	378.069	3562.575	944.446
309	0.309	0.00071	416.822	616.265	1296.248	919.241	3548.107	1843.235
310	0.310	0.00071	880.929	513.890	2912.668	2354.558	--undefined--	--undefined--
311	0.311	0.00039	1076.876	568.534	3443.407	1749.754	--undefined--	--undefined--
312	0.312	0.00066	853.966	413.214	2104.717	598.048	--undefined--	--undefined--
313	0.313	0.00066	828.609	386.090	2914.844	1342.284	--undefined--	--undefined--
314	0.314	0.00049	1038.002	801.868	2415.295	2813.709	--undefined--	--undefined--
315	0.315	0.00066	802.828	1444.662	1990.388	2428.793	--undefined--	--undefined--
316	0.316	0.00066	838.759	550.874	3274.047	2146.456	--undefined--	--undefined--
317	0.317	0.00067	827.165	475.952	1683.846	804.897	3355.256	790.193
318	0.318	0.00067	890.003	998.474	2073.567	1181.405	--undefined--	--undefined--
319	0.319	0.00065	427.329	1247.709	1041.158	1710.963	4037.099	2222.298
320	0.320	0.00067	790.011	626.874	1845.828	1261.447	3395.712	757.792
321	0.321	0.00067	642.956	1265.503	1865.051	1382.156	--undefined--	--undefined--
322	0.322	0.00044	349.907	1038.786	1109.262	1036.364	3791.492	815.979
323	0.323	0.00073	888.348	972.403	3175.872	1427.945	--undefined--	--undefined--
324	0.324	0.00073	576.118	786.702	1629.054	1079.065	5184.614	2374.957
325	0.325	0.00043	298.592	898.259	1055.966	676.247	3522.686	775.818
