frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
79	0.079	0.01273	782.300	771.636	1746.972	705.828	3422.398	921.558
80	0.080	0.00638	708.668	898.644	1797.627	793.206	3300.762	773.987
81	0.081	0.00849	844.260	887.245	1765.487	936.321	3271.026	1211.830
82	0.082	0.00849	913.095	615.073	1740.984	695.572	3441.785	1916.084
83	0.083	0.00434	880.836	2382.970	3244.661	701.187	--undefined--	--undefined--
84	0.084	0.00434	815.599	488.737	1662.280	457.509	3550.645	562.364
85	0.085	0.00226	869.627	564.371	1809.561	1081.505	3143.408	507.754
86	0.086	0.00116	1009.443	571.231	2047.763	528.410	3616.440	1582.728
87	0.087	0.00116	687.112	630.228	1685.847	508.971	3621.173	917.847
88	0.088	0.00040	585.187	979.044	1612.688	856.732	3542.655	1933.516
89	0.089	0.00040	544.905	1435.781	1151.993	1435.272	3364.973	426.781
90	0.090	0.00010	838.114	1140.998	1831.857	804.449	--undefined--	--undefined--
91	0.091	0.00011	1081.295	485.634	2896.757	747.450	--undefined--	--undefined--
92	0.092	0.00058	688.566	916.878	1724.346	912.362	3330.489	644.720
93	0.093	0.00058	1138.264	1085.567	1890.183	821.548	3370.591	535.419
94	0.094	0.00060	1303.502	637.401	2333.980	817.989	--undefined--	--undefined--
95	0.095	0.00060	831.254	670.484	1689.621	739.004	2996.326	1443.717
96	0.096	0.00028	1065.140	983.705	2132.842	1373.888	--undefined--	--undefined--
97	0.097	0.00058	1418.202	632.658	3123.656	568.287	--undefined--	--undefined--
98	0.098	0.00058	547.385	1519.782	1926.216	1075.878	--undefined--	--undefined--
99	0.099	0.00043	1018.964	654.068	2001.670	1146.761	3330.288	1490.040
100	0.100	0.00043	531.843	620.115	1596.921	651.240	2991.402	637.783
101	0.101	0.00023	455.060	640.332	1738.087	1151.045	3405.717	749.713
102	0.102	0.00035	247.882	768.975	2130.697	507.999	3177.102	445.598
103	0.103	0.00035	971.976	583.456	3005.040	711.635	--undefined--	--undefined--
104	0.104	0.00026	1176.077	749.051	3163.651	2978.204	--undefined--	--undefined--
105	0.105	0.00046	508.520	828.608	1553.299	935.648	3041.464	671.264
106	0.106	0.00046	969.516	1122.687	3781.166	805.416	--undefined--	--undefined--
107	0.107	0.00057	837.836	1163.868	1856.597	874.101	2962.216	833.235
108	0.108	0.00057	690.911	1057.604	1659.081	1376.328	3291.693	897.523
109	0.109	0.00033	973.012	578.360	2589.821	3103.587	--undefined--	--undefined--
110	0.110	0.00049	1549.842	460.686	3444.869	1279.798	--undefined--	--undefined--
111	0.111	0.00049	1212.551	1679.500	2606.698	1217.135	--undefined--	--undefined--
112	0.112	0.00034	1062.968	710.479	2032.724	658.542	--undefined--	--undefined--
113	0.113	0.00055	537.188	985.318	1605.790	986.827	2928.344	1213.424
114	0.114	0.00055	1020.973	1073.606	2399.486	1202.122	--undefined--	--undefined--
115	0.115	0.00052	811.412	1082.897	1718.702	866.143	2844.107	1067.988
116	0.116	0.00052	561.422	603.409	1546.375	478.916	3965.511	1550.082
117	0.117	0.00039	1109.840	849.703	3935.481	2590.948	--undefined--	--undefined--
118	0.118	0.00062	287.963	1888.624	1536.583	428.388	3425.987	703.646
119	0.119	0.00062	1090.365	1635.968	1828.552	1612.382	3395.148	2590.513
120	0.120	0.00043	620.286	859.481	1587.609	698.344	5085.784	3275.701
121	0.121	0.00059	1071.874	726.692	2183.135	823.514	--undefined--	--undefined--
122	0.122	0.00059	522.111	744.930	1732.558	769.502	3514.127	677.196
123	0.123	0.00064	1300.474	657.252	2481.719	983.182	--undefined--	--undefined--
124	0.124	0.00064	497.948	824.489	1476.845	726.099	3569.455	1224.536
125	0.125	0.00040	415.696	636.706	1259.215	533.076	3450.404	894.890
126	0.126	0.00066	1330.775	1015.136	1917.202	1075.123	3311.640	642.123
127	0.127	0.00066	1849.743	1081.675	3254.205	1253.575	--undefined--	--undefined--
128	0.128	0.00039	459.213	724.397	1368.131	795.931	3412.936	628.926
129	0.129	0.00064	536.008	702.720	1505.949	593.699	3221.373	549.991
