Word_eng,PhoWord_eng,LengthO_eng,LengthP_eng,Freq_eng,PTHN_eng,PTHF_eng,PTHW_eng,sPTHN_eng,sPTHF_eng,sPTHW_eng,PTHN_spa
orange,O.r0.I0.n.dZ,6,5,22.3137,0,,,0,,,0
apple,1.p.l,5,3,23.6667,0,,,0,,,0
mirror,m.I.r0.56,6,4,24.1765,0,,,0,,,0
button,b.V.t.5.n,6,5,28.2549,0,,,0,,,0
chocolate,tS.A.k.l.5.t,9,6,29.3922,0,,,0,,,0
glasses,g.l.1.s.I0.z,7,6,33.1176,0,,,0,,,0
jacket,dZ.1.k.I0.t,6,5,33.4118,0,,,0,,,0
finger,f.I.N.g.56,6,5,36.6667,0,,,0,,,2
milk,m.I.l.k,4,4,42.5294,0,,,0,,,0
sky,s.k.aI,3,3,44.8039,0,,,0,,,0
bottle,b.A.t.l,6,4,50.7451,0,,,0,,,1
chicken,tS.I.k.I.n,7,5,61.7255,0,,,0,,,0
window,w.I.n.d.oU,6,5,86,0,,,0,,,7
box,b.A.k.s,3,4,89.7451,0,,,0,,,0
train,t.r0.eI.n,5,4,95.0588,0,,,0,,,5
mouth,m.aU.T,5,3,104.4118,0,,,0,,,0
water,w.O.t.56,5,4,225.0588,0,,,0,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,4
,,,,,,,,,,,3
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,6
,,,,,,,,,,,11
,,,,,,,,,,,1
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,8
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,8
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,14
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,5
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,0
,,,,,,,,,,,5
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,2
,,,,,,,,,,,8
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,6
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
