"participant","group","trial_id","test_language","country","word","input_text","response_type","typing_offset","similarity_phon","similarity_ort","close_substitutions","same_onset","consecutive_longest","freq","pthn"
11311,"ENG-CAT",145,"Catalan","UK","got","god","wrong",4.733999968,0,0,0.666666666666666,"different",,51.6471,6
11311,"ENG-CAT",146,"Catalan","UK","guitarra","guitar","correct",1.802000046,0.6,0.857142857142857,0,"same_consonant",3,15.5882,0
11311,"ENG-CAT",147,"Catalan","UK","jaqueta","jacket","correct",1.234000206,0.363636363636363,0.615384615384615,0.181818181818181,"different",1,33.4118,0
11311,"ENG-CAT",148,"Catalan","UK","lleo","unsure","other",4.282999992,0.25,0.25,0,"different",1,15.3529,1
11311,"ENG-CAT",149,"Catalan","UK","llibre","book","correct",5.484999895,0,0.2,0,"different",0,176.9804,3
11311,"ENG-CAT",150,"Catalan","UK","lloro","gold","wrong",2.983999968,0.222222222222222,0.363636363636363,0,"different",1,3.2745,2
11311,"ENG-CAT",151,"Catalan","UK","lluna","moon","correct",2.265000105,0.571428571428571,0.222222222222222,0,"different",2,49.9608,6
11311,"ENG-CAT",152,"Catalan","UK","ma",,"blank",1.131999969,0,0.333333333333333,0.333333333333333,"different",1,279.6471,2
11311,"ENG-CAT",153,"Catalan","UK","mico","freind","typo",2.017999887,0.444444444444444,0.4,0,"same_consonant",1,33.5098,1
11311,"ENG-CAT",154,"Catalan","UK","mirall","view","wrong",5.101000071,0.666666666666666,0.5,0,"same_consonant",,24.1765,0
11311,"ENG-CAT",155,"Catalan","UK","moneda","coin","correct",1.700999975,0.2,0.4,0,"different",1,9.7451,6
11311,"ENG-CAT",156,"Catalan","UK","moto","motorbike","correct",2.75,0.307692307692307,0.615384615384615,0,"same_consonant",1,0.7451,0
11311,"ENG-CAT",157,"Catalan","UK","mussol","museum","wrong",1.815999985,0.5,0.444444444444444,0,"different",1,5.6078,10
11311,"ENG-CAT",158,"Catalan","UK","nas",,"blank",3.48300004,0.285714285714285,0.571428571428571,0,"same_consonant",1,69.7451,6
11311,"ENG-CAT",159,"Catalan","UK","onada","a bird","wrong",3.267999887,0,0.222222222222222,0.222222222222222,"different",0,21.2549,8
11311,"ENG-CAT",160,"Catalan","UK","orella","ear","correct",2.284999847,0.285714285714285,0.222222222222222,0,"different",,32,9
11311,"ENG-CAT",161,"Catalan","UK","ovella","hotel","wrong",2.849999905,0,0.181818181818181,0,"different",0,13.4314,8
11311,"ENG-CAT",162,"Catalan","UK","pa","bread","correct",1.884000063,0,0.285714285714285,0.333333333333333,"different",0,28.3333,5
11311,"ENG-CAT",163,"Catalan","UK","papallona","papaya","wrong",4.513999939,0.125,0.111111111111111,0.125,"different",1,5.5098,0
11311,"ENG-CAT",164,"Catalan","UK","patata","potato","correct",1.55099988,0.714285714285714,0.666666666666666,0,"same_consonant",1,11.2941,0
11311,"ENG-CAT",165,"Catalan","UK","pernil","ork","wrong",5.851999998,0,0,0,"different",,11.5882,18
11311,"ENG-CAT",166,"Catalan","UK","peu","piece","wrong",4.300000191,0,0,0,"different",,64.9216,5
11311,"ENG-CAT",167,"Catalan","UK","pingui","penguin","correct",1.734999895,0.769230769230769,0.461538461538461,0,"same_consonant",5,2.8824,0
11311,"ENG-CAT",168,"Catalan","UK","planta","plant","correct",1.467000008,0.727272727272727,0.909090909090909,0,"same_consonant",,27.6078,4
11311,"ENG-CAT",169,"Catalan","UK","plat","plate","correct",4.134000063,0.666666666666666,0.888888888888888,0,"same_consonant",2,25.6471,7
11311,"ENG-CAT",170,"Catalan","UK","ploma","lead","wrong",1.349999905,0.222222222222222,0.166666666666666,0,"different",0,6.6275,6
11311,"ENG-CAT",171,"Catalan","UK","pollastre","chicken","correct",2.76699996,0,0.125,0,"different",0,61.7255,0
11311,"ENG-CAT",172,"Catalan","UK","poma","cream","wrong",3.851000071,0.285714285714285,0.222222222222222,0,"different",0,23.6667,0
11311,"ENG-CAT",173,"Catalan","UK","porc","pork","correct",2.786000013,0.857142857142857,0.75,0,"same_consonant",,,
11311,"ENG-CAT",174,"Catalan","UK","porta","door","correct",1.433000088,0.285714285714285,0.444444444444444,0,"different",0,292.0588,5
11311,"ENG-CAT",175,"Catalan","UK","raspall",,"blank",0.667000055,0.2,0.333333333333333,0.2,"different",0,14.1569,2
11311,"ENG-CAT",176,"Catalan","UK","samarreta","scorpion","wrong",3.76699996,0.153846153846153,0.375,0,"different",1,,
11311,"ENG-CAT",177,"Catalan","UK","sol","sun","correct",1.71600008,0.333333333333333,0.333333333333333,0.333333333333333,"same_consonant",1,69.6667,13
11311,"ENG-CAT",178,"Catalan","UK","taronja","slice","wrong",1.464999914,0.166666666666666,0.307692307692307,0.166666666666666,"different",1,22.3137,0
11311,"ENG-CAT",179,"Catalan","UK","tigre","tiger","correct",4.251000166,0.8,0.8,0,"same_consonant",1,18.5294,0
11311,"ENG-CAT",180,"Catalan","UK","tisores","treasure","wrong",2.75,0.5,0.666666666666666,0.166666666666666,"different",1,6.6863,1
11311,"ENG-CAT",181,"Catalan","UK","tobogan","toucan","wrong",2.032999992,0.166666666666666,0,0,"different",1,17.8235,2
11311,"ENG-CAT",182,"Catalan","UK","tomaquet",,"blank",1.815999985,0.285714285714285,0.571428571428571,0,"same_consonant",1,5.902,0
11311,"ENG-CAT",183,"Catalan","UK","tren","train","correct",1.768000126,0.666666666666666,0.666666666666666,0.222222222222222,"same_consonant",3,95.0588,0
11311,"ENG-CAT",184,"Catalan","UK","ull","jungle","wrong",4.634000063,0,0,0,"different",,111.7843,18
11311,"ENG-CAT",185,"Catalan","UK","ulleres","ears","wrong",2.367000103,0.166666666666666,0.428571428571428,0,"different",1,33.1176,0
11311,"ENG-CAT",186,"Catalan","UK","ungla","nail","correct",3.434000015,0.222222222222222,0.444444444444444,0,"different",,18.6471,8
11311,"ENG-CAT",187,"Catalan","UK","vaixell","comb","wrong",5.549999952,0.444444444444444,0.181818181818181,0,"same_consonant",1,95.7843,5
11311,"ENG-CAT",188,"Catalan","UK","xocolata","chocolate","correct",2.448999882,0.4,0.705882352941176,0.133333333333333,"different",1,29.3922,0
11311,"ENG-CAT",189,"Catalan","UK","zebra","zebra","correct",3.049999952,0.6,1,0.2,"same_consonant",2,2.5098,0
11399,"ENG-CAT",104,"Catalan","UK","abella","party","wrong",3.132999897,0.285714285714285,0.444444444444444,0,"different",,10.3529,27
11399,"ENG-CAT",105,"Catalan","UK","aigua","iguana","wrong",2.059999943,0.444444444444444,0.2,0,"different",,225.0588,0
11399,"ENG-CAT",106,"Catalan","UK","aixeta","roof","wrong",2.415999889,0.25,0.444444444444444,0,"different",0,14.7451,8
11399,"ENG-CAT",107,"Catalan","UK","amanida","jellyfish","wrong",6.049000025,0.166666666666666,0.5,0,"different",1,17.0196,0
11399,"ENG-CAT",108,"Catalan","UK","ampolla","loud","wrong",7.56400013,0,0.307692307692307,0,"different",1,50.7451,0
11399,"ENG-CAT",109,"Catalan","UK","arbre","well done","wrong",2.799999952,0.285714285714285,0.444444444444444,0,"different",1,65,5
11399,"ENG-CAT",110,"Catalan","UK","berenar","brother","wrong",3.733999968,0.2,0.333333333333333,0.2,"different",,9.1373,5
11399,"ENG-CAT",111,"Catalan","UK","bibero","alive","wrong",2.334000111,0.2,0.333333333333333,0,"same_consonant",1,50.7451,0
11399,"ENG-CAT",112,"Catalan","UK","bici","biscuit","wrong",3.433000088,0.5,0.5,0,"same_consonant",1,25.8824,9
11399,"ENG-CAT",113,"Catalan","UK","boca","bull","wrong",2.949999809,0,0.222222222222222,0.25,"different",1,104.4118,0
11399,"ENG-CAT",114,"Catalan","UK","bol","ball","wrong",1.934000015,0.571428571428571,0.857142857142857,0,"same_consonant",1,21.451,12
11399,"ENG-CAT",115,"Catalan","UK","bolet","ticket","wrong",5.015999794,0.181818181818181,0.153846153846153,0.181818181818181,"different",,2.1373,1
11399,"ENG-CAT",116,"Catalan","UK","bolquer","bouquet","wrong",9.19799995,0,0,0,"different",1,0.78431,8
11399,"ENG-CAT",117,"Catalan","UK","boto","butter","wrong",3.25,0.5,0.4,0,"same_consonant",1,28.2549,0
11399,"ENG-CAT",118,"Catalan","UK","bou","bow","wrong",2.750999928,0.666666666666666,0.571428571428571,0,"same_consonant",,27.5098,6
11399,"ENG-CAT",119,"Catalan","UK","caixa","soup","wrong",2.565999985,0.25,0.25,0,"different",1,89.7451,0
11399,"ENG-CAT",120,"Catalan","UK","cama","milk","wrong",2.532999992,0,0,0.285714285714285,"different",0,56.5098,2
11399,"ENG-CAT",121,"Catalan","UK","camisa","table cloth","wrong",4.817000151,0,0.181818181818181,0.222222222222222,"different",0,46.3725,6
11399,"ENG-CAT",122,"Catalan","UK","casa","soup","wrong",3.031000137,0.25,0.222222222222222,0,"different",,514,1
11399,"ENG-CAT",123,"Catalan","UK","cavall","sweets","wrong",3.299999952,0,0,0,"different",0,92.8824,2
11399,"ENG-CAT",124,"Catalan","UK","cirera","sister","wrong",2.098999977,0.2,0.5,0,"different",1,13.5882,6
11399,"ENG-CAT",125,"Catalan","UK","colom","long","wrong",7.217000008,0,0.181818181818181,0,"different",,5.902,0
11399,"ENG-CAT",126,"Catalan","UK","corona","donkey","wrong",11.3499999,0.545454545454545,0.727272727272727,0,"same_consonant",1,13.6863,4
11399,"ENG-CAT",127,"Catalan","UK","cotxe","guide","wrong",6.049000025,0.333333333333333,0.25,0,"same_consonant",1,483.0588,2
11399,"ENG-CAT",128,"Catalan","UK","cuc","cow","wrong",4.453999996,0,0,0,"different",0,10.1176,8
11399,"ENG-CAT",129,"Catalan","UK","dit","speech","wrong",9.09900022,0.25,0.222222222222222,0,"different",0,36.6667,0
11399,"ENG-CAT",130,"Catalan","UK","entrepa","circus","wrong",4.26699996,0.153846153846153,0.133333333333333,0,"different",1,21.9216,0
11399,"ENG-CAT",131,"Catalan","UK","esponja","spoge","correct",2.467000008,0.5,0.615384615384615,0.333333333333333,"different",2,6.7059,0
11399,"ENG-CAT",132,"Catalan","UK","estrella","sausage","wrong",8.115999937,0.4,0.5,0,"different",2,81.3529,3
11399,"ENG-CAT",133,"Catalan","UK","estruc","oven","wrong",4.450000048,0.5,0.461538461538461,0,"different",3,0.94118,0
11399,"ENG-CAT",134,"Catalan","UK","flor","fly","wrong",2.786000013,0.5,0.8,0,"same_consonant",2,22.7647,1
11399,"ENG-CAT",135,"Catalan","UK","formiga","cheese","wrong",4.5849998,0,0.2,0,"different",0,5.3529,9
11399,"ENG-CAT",136,"Catalan","UK","forquilla","pasta","wrong",5.549999952,0.4,0.461538461538461,0,"same_consonant",0,8.8235,12
11399,"ENG-CAT",137,"Catalan","UK","fulla","money","wrong",2.132999897,0.285714285714285,0.222222222222222,0,"different",,5.1961,13
11399,"ENG-CAT",138,"Catalan","UK","galeta","letter","wrong",3.433000088,0.166666666666666,0.153846153846153,0,"different",1,,
11399,"ENG-CAT",139,"Catalan","UK","galleda","grandmother","wrong",4.849999905,0,0.153846153846153,0,"different",1,10.0196,1
11399,"ENG-CAT",140,"Catalan","UK","gat","fork","wrong",5.266000032,0.333333333333333,0.666666666666666,0.666666666666666,"different",1,66.3333,9
11399,"ENG-CAT",141,"Catalan","UK","gerd","wife","wrong",6.282999992,0.25,0.444444444444444,0,"different",,16.7843,4
11399,"ENG-CAT",142,"Catalan","UK","girafa","giraffe","correct",3.883000135,0.545454545454545,0.769230769230769,0.181818181818181,"different",2,1.4902,0
11399,"ENG-CAT",143,"Catalan","UK","globus","drink","wrong",4.666000128,0.363636363636363,0.307692307692307,0,"different",1,8.6667,0
11399,"ENG-CAT",144,"Catalan","UK","gorra","tree","wrong",9.80099988,0,0.25,0.285714285714285,"different",,18.7451,11
11399,"ENG-CAT",145,"Catalan","UK","got","god","wrong",2.482999802,0,0,0.666666666666666,"different",,51.6471,6
11399,"ENG-CAT",146,"Catalan","UK","guitarra","guitar","correct",1.382999897,0.6,0.857142857142857,0,"same_consonant",3,15.5882,0
11399,"ENG-CAT",147,"Catalan","UK","jaqueta","jacket","correct",1.48300004,0.363636363636363,0.615384615384615,0.181818181818181,"different",1,33.4118,0
11399,"ENG-CAT",148,"Catalan","UK","lleo","my","wrong",6.583000183,0.25,0.25,0,"different",1,15.3529,1
11399,"ENG-CAT",149,"Catalan","UK","llibre","free","wrong",3.033000231,0,0.2,0,"different",0,176.9804,3
11399,"ENG-CAT",150,"Catalan","UK","lloro","leek","wrong",3.23300004,0.222222222222222,0.363636363636363,0,"different",1,3.2745,2
11399,"ENG-CAT",151,"Catalan","UK","lluna","moon","correct",2.165999889,0.571428571428571,0.222222222222222,0,"different",2,49.9608,6
11399,"ENG-CAT",152,"Catalan","UK","ma","strawberry","wrong",4.200000048,0,0.333333333333333,0.333333333333333,"different",1,279.6471,2
11399,"ENG-CAT",153,"Catalan","UK","mico","me","wrong",4.016000032,0.444444444444444,0.4,0,"same_consonant",1,33.5098,1
11399,"ENG-CAT",154,"Catalan","UK","mirall","painting","wrong",5.514999866,0.666666666666666,0.5,0,"same_consonant",,24.1765,0
11399,"ENG-CAT",155,"Catalan","UK","moneda","mother","wrong",1.916000128,0.2,0.4,0,"different",1,9.7451,6
11399,"ENG-CAT",156,"Catalan","UK","moto","aunt","wrong",5.73300004,0.307692307692307,0.615384615384615,0,"same_consonant",1,0.7451,0
11399,"ENG-CAT",157,"Catalan","UK","mussol","rubbish","wrong",3.798999786,0.5,0.444444444444444,0,"different",1,5.6078,10
11399,"ENG-CAT",158,"Catalan","UK","nas","nose","correct",2.416000128,0.285714285714285,0.571428571428571,0,"same_consonant",1,69.7451,6
11399,"ENG-CAT",159,"Catalan","UK","onada","oh no","wrong",3.332000017,0,0.222222222222222,0.222222222222222,"different",0,21.2549,8
11399,"ENG-CAT",160,"Catalan","UK","orella","umbrella","wrong",4.018000126,0.285714285714285,0.222222222222222,0,"different",,32,9
11399,"ENG-CAT",161,"Catalan","UK","ovella","dark","wrong",7.467000008,0,0.181818181818181,0,"different",0,13.4314,8
11399,"ENG-CAT",162,"Catalan","UK","pa","oh dear","wrong",5.828999996,0,0.285714285714285,0.333333333333333,"different",0,28.3333,5
11399,"ENG-CAT",163,"Catalan","UK","papallona","father","wrong",4.46600008,0.125,0.111111111111111,0.125,"different",1,5.5098,0
11399,"ENG-CAT",164,"Catalan","UK","patata","potato","correct",2.915999889,0.714285714285714,0.666666666666666,0,"same_consonant",1,11.2941,0
11399,"ENG-CAT",165,"Catalan","UK","pernil","parsnip","wrong",6.299999952,0,0,0,"different",,11.5882,18
