participant,group,n,n_valid,n_correct,prop_correct,test_language,age,l2,l2oral,l2written,sex,impairment,valid_participant
5dae0ea2a0e1f7001526ac22,ENG-CAT,103,100,17,0.17,Spanish,24,None,,,Female,FALSE,TRUE
5dae0ea2a0e1f7001526ac22,ENG-CAT,103,100,17,0.17,Spanish,,None,,,Female,FALSE,
5dd693492b033b61545beaee,ENG-CAT,103,92,13,0.141304347826087,Spanish,20,None,1,1,Female,FALSE,TRUE
5dd693492b033b61545beaee,ENG-CAT,103,92,13,0.141304347826087,Spanish,,None,1,1,Female,FALSE,
5e0ce0bbda6bad4819153380,ENG-CAT,86,86,13,0.151162790697674,Catalan,25,None,,,Male,FALSE,TRUE
5e0ce0bbda6bad4819153380,ENG-CAT,86,86,13,0.151162790697674,Catalan,,None,,,Male,FALSE,
5e2c9acdcd89c82c3a1321ae,ENG-CAT,103,102,18,0.176470588235294,Spanish,20,None,,,Female,FALSE,TRUE
5e2c9acdcd89c82c3a1321ae,ENG-CAT,103,102,18,0.176470588235294,Spanish,,None,,,Female,FALSE,
5e32a996077089274299680f,ENG-CAT,103,102,22,0.215686274509804,Spanish,20,None,,,Female,TRUE,FALSE
5e32a996077089274299680f,ENG-CAT,103,102,22,0.215686274509804,Spanish,,None,,,Female,TRUE,FALSE
5e3878bdb7fe58049b837ea9,ENG-CAT,103,103,24,0.233009708737864,Spanish,19,None,,,Male,FALSE,TRUE
5e3878bdb7fe58049b837ea9,ENG-CAT,103,103,24,0.233009708737864,Spanish,,None,,,Male,FALSE,
5e52fa4bc6506d30c686471e,ENG-CAT,103,102,15,0.147058823529412,Spanish,24,None,,,Female,FALSE,TRUE
5e52fa4bc6506d30c686471e,ENG-CAT,103,102,15,0.147058823529412,Spanish,,None,,,Female,FALSE,
5e60db57fdef8001c1fdc6f7,ENG-CAT,103,103,14,0.135922330097087,Spanish,25,None,,,Female,FALSE,TRUE
5e60db57fdef8001c1fdc6f7,ENG-CAT,103,103,14,0.135922330097087,Spanish,,None,,,Female,FALSE,
5e642125757e611ae1a52811,ENG-CAT,103,75,14,0.186666666666667,Spanish,18,None,1,1,Male,FALSE,FALSE
