participant,trial_id,test_language,word,language_native,input_text,typing_onset,typing_offset
23251,104,Catalan,abella,English,,,
23251,105,Catalan,aigua,English,unicorn,3.932999849,4.965999842
23251,106,Catalan,aixeta,English,cat,7.05099988,7.299999952
23251,107,Catalan,amanida,English,animal,12.63899994,13.19899988
23251,108,Catalan,ampolla,English,,,
23251,109,Catalan,arbre,English,,,
23251,110,Catalan,berenar,English,,,
23251,111,Catalan,bibero,English,library,3.131999969,4.382999897
23251,112,Catalan,bici,English,bees,2.349999905,4.400000095
23251,113,Catalan,boca,English,,,
23251,114,Catalan,bol,English,ball,6,6.650000095
23251,115,Catalan,bolet,English,ball,7.882999897,8.248999834
23251,116,Catalan,bolquer,English,,,
23251,117,Catalan,boto,English,,,
23251,118,Catalan,bou,English,,,
23251,119,Catalan,caixa,English,cash,1.917000055,2.450000048
23251,120,Catalan,cama,English,camera,1.798000097,3.26699996
23251,121,Catalan,camisa,English,camel,1.849999905,2.28399992
23251,122,Catalan,casa,English,car,1.948999882,2.282999992
23251,123,Catalan,cavall,English,,,
23251,124,Catalan,cirera,English,snake,3.016000032,3.549999952
23251,125,Catalan,colom,English,,,
23251,126,Catalan,corona,English,c,5.848999977,18.04999995
23251,127,Catalan,cotxe,English,,,
23251,128,Catalan,cuc,English,cook,4.833000183,5.683000088
23251,129,Catalan,dit,English,,,
23251,130,Catalan,entrepa,English,,,
23251,131,Catalan,esponja,English,sponge,2.633000135,3.317000151
23251,132,Catalan,estrella,English,ostrich,5.53399992,9.5
23251,133,Catalan,estruc,English,s,6.865999937,8.403000116
23251,134,Catalan,flor,English,flower,3.399999857,3.882999897
23251,135,Catalan,formiga,English,,,
23251,136,Catalan,forquilla,English,,,
23251,137,Catalan,fulla,English,escape,30.68599987,32.10099983
23251,138,Catalan,galeta,English,cake,3.899999857,4.199999809
23251,139,Catalan,galleda,English,,,
23251,140,Catalan,gat,English,gate,4.667000055,10.31700015
23251,141,Catalan,gerd,English,j,4.567000151,4.733999968
23251,142,Catalan,girafa,English,giraffe,1.799999952,4.166999817
23251,143,Catalan,globus,English,globe,2.867000103,10.4000001
23251,144,Catalan,gorra,English,,,
23251,145,Catalan,got,English,goat,2.867000103,8.133000135
23251,146,Catalan,guitarra,English,guitar,1.5,3.566999912
23251,147,Catalan,jaqueta,English,jacket,12.20099998,13.30100012
23251,148,Catalan,lleo,English,,,
23251,149,Catalan,llibre,English,,,
23251,150,Catalan,lloro,English,,,
23251,151,Catalan,lluna,English,moon,2.100000143,2.584000111
23251,152,Catalan,ma,English,my,3.615999937,3.86500001
23251,153,Catalan,mico,English,mouse,3.516000032,4.067000151
23251,154,Catalan,mirall,English,,,
23251,155,Catalan,moneda,English,moon,5.367000103,5.849999905
23251,156,Catalan,moto,English,,,
23251,157,Catalan,mussol,English,,,
23251,158,Catalan,nas,English,wet,2.666000128,3.032999992
23251,159,Catalan,onada,English,,,
23251,160,Catalan,orella,English,,,
23251,161,Catalan,ovella,English,,,
23251,162,Catalan,pa,English,,,
23251,163,Catalan,papallona,English,parrot,4.26699996,5.23300004
23251,164,Catalan,patata,English,potatoe,2.400000095,3.683000088
23251,165,Catalan,pernil,English,horse,20.05700016,21.95099998
23251,166,Catalan,peu,English,,,
23251,167,Catalan,pingui,English,penguin,1.700000048,3.333999872
23251,168,Catalan,planta,English,plant,2.266000032,2.69900012
23251,169,Catalan,plat,English,plant,2.149999857,2.708999872
23251,170,Catalan,ploma,English,pretty,19.33399987,20.55099988
23251,171,Catalan,pollastre,English,chicken,5.499000072,6.769999981
23251,172,Catalan,poma,English,,,
23251,173,Catalan,porc,English,pig,5.80099988,6.665999889
23251,174,Catalan,porta,English,door,7.682999849,8.099999905
23251,175,Catalan,raspall,English,,,
23251,176,Catalan,samarreta,English,,,
23251,177,Catalan,sol,English,soul,3.733999968,4.80099988
23251,178,Catalan,taronja,English,spider,5.299000025,6.21600008
23251,180,Catalan,tisores,English,,,
23251,181,Catalan,tobogan,English,toucan,9.756000042,10.41599989
23251,182,Catalan,tomaquet,English,tomato,1.467000008,2.267999887
23251,183,Catalan,tren,English,fence,6.175000191,6.684000015
23251,184,Catalan,ull,English,owl,2.266000032,2.467000008
23251,185,Catalan,ulleres,English,glasses,4.199999809,5.082000017
23251,186,Catalan,ungla,English,,,
23251,187,Catalan,vaixell,English,present,2.884000063,3.933000088
23251,188,Catalan,xocolata,English,chocolate,1.467999935,3.93599987
23251,189,Catalan,zebra,English,zebra,1.800000191,2.633000135
37584,104,Catalan,abella,Spanish,abeja,1.16700005531311,1.70000004768372
37584,105,Catalan,aigua,Spanish,agua,3.23100018501282,4.13400006294251
37584,106,Catalan,aixeta,Spanish,acento,7.33500003814697,8.04999995231628
37584,107,Catalan,amanida,Spanish,amanecer,4.94600009918213,5.95000004768372
37584,108,Catalan,ampolla,Spanish,ampolla,1.51799988746643,2.34299993515015
37584,109,Catalan,arbre,Spanish,arbol,3.45000004768372,8.5
37584,110,Catalan,berenar,Spanish,granada,7.73399996757507,8.61800003051758
37584,111,Catalan,bibero,Spanish,biberon,1.93200016021729,3.31800007820129
37584,112,Catalan,bici,Spanish,bicicleta,1.69900012016296,5
37584,113,Catalan,boca,Spanish,boca,1.76500010490417,2.43500018119812
37584,114,Catalan,bol,Spanish,pelota,2.23400020599365,4.28500008583069
37584,115,Catalan,bolet,Spanish,querer,2.14900016784668,3.9210000038147
37584,116,Catalan,bolquer,Spanish,volcar,1.71700000762939,5.53999996185303
37584,117,Catalan,boto,Spanish,butaca,3.51699995994568,4.98799991607666
37584,118,Catalan,bou,Spanish,pelota,1.7649998664856,2.5460000038147
37584,119,Catalan,caixa,Spanish,casa,1.62400007247925,2.16700005531311
37584,120,Catalan,cama,Spanish,cama,1.45000004768372,1.81599998474121
37584,121,Catalan,camisa,Spanish,camisa,1.31599998474121,2.1159999370575
37584,122,Catalan,casa,Spanish,casa,1.54999995231628,2.01500010490417
