participant,trial_id,test_language,word,language_l1,input_text,typing_onset,typing_offset,orthography,phonology,translation_english_orthography,translation_english_phonology,ipa_english,translation_catalan_orthography,translation_catalan_phonology,translation_spanish_orthography,translation_spanish_phonology,lev_engspa,sim_engspa,sim_engspa_broad,lev_engcat,sim_engcat,sim_engcat_broad,lev_spacat,sim_spacat,sim_spacat_broad,frequency_zipf,soundfile,practice,length,accuracy
11311,121,Catalan,camisa,English,short,0.615999937,1.231999874,camisa,/ˈka.mə/,shirt,/ʃɜːt/,ʃɛɛt,camisa,/ˈka.mə/,camisa,/kaˈmi.sa/,0.816666666666666,0.111111111111111,0.277777777777777,0.8,0.166666666666666,0.166666666666666,0.383333333333333,0.738888888888888,0.738888888888888,4.32244382,Sounds/cat_camisa.wav,FALSE,6,0
11311,122,Catalan,casa,English,house,1.250999928,1.833999872,casa,/ˈka.zə/,house,/haʊs/,haʊs,casa,/ˈka.zə/,casa,/'ka.sa/,0.6,0.55,0.5,0.6,0.3,0.25,0.25,0.858333333333333,0.858333333333333,6.01561386,Sounds/cat_casa.wav,FALSE,5,0.04
11311,123,Catalan,cavall,English,horse,1.600999832,2.282999992,cavall,/kə'baʎ/,horse,/hɔːs/,hɔɔs,cavall,/kə'baʎ/,caballo,/kaˈβa.ʎo/,0.85,0.366666666666666,0.333333333333333,0.96,0.106666666666666,0.0666666666666666,0.283333333333333,0.717676767676767,0.684343434343434,4.82213936,Sounds/cat_cavall.wav,FALSE,6,0
11311,124,Catalan,cirera,English,mermaid,2.750999928,3.801000118,cirera,/siˈɾe.ɾə/,cherry,/ˈʧɛri/,ʧɛrɪ,cirera,/siˈɾe.ɾə/,cereza,/θeˈɾe.θa/,0.65,0.199999999999999,0.583333333333333,0.616666666666666,0.366666666666666,0.75,0.433333333333333,0.511111111111111,0.694444444444444,3.57035086,Sounds/cat_cirera.wav,FALSE,7,0.0204081632653061
11311,125,Catalan,colom,English,,2.28399992,2.28399992,colom,/kuˈlom/,pigeon,/ˈpɪʤɪn/,pɪʤɪn,colom,/kuˈlom/,paloma,/paˈlo.ma/,0.75,0.442929292929292,0.442929292929292,0.639999999999999,0.226666666666666,0.146666666666666,0.316666666666666,0.612121212121212,0.545454545454545,4.04297744,Sounds/cat_colom.wav,FALSE,,
11311,126,Catalan,corona,English,cown,5.368000031,8.618000031,corona,/kuˈɾo.nə/,crown,/kraʊn/,kraʊn,corona,/kuˈɾo.nə/,corona,/koˈɾo.na/,0.483333333333333,0.446969696969696,0.613636363636363,0.483333333333333,0.613636363636363,0.78030303030303,0.2,0.916666666666666,0.916666666666666,4.28706305,Sounds/cat_corona.wav,FALSE,6,0.0833333333333333
11311,127,Catalan,cotxe,English,car,1.182999849,1.534999847,cotxe,/ˈkɔ.t͡ʃə/,car,/kɑː/,kɑɑ,cotxe,/ˈkɔ.t͡ʃə/,coche,/ˈko.t͡ʃe/,0.575,0.494047619047619,0.494047619047619,0.575,0.494047619047619,0.494047619047619,0.1,1,1,5.37553408,Sounds/cat_cotxe.wav,FALSE,5,0.04
11311,128,Catalan,cuc,English,rof,4.251000166,10.35300016,cuc,/ˈkuk/,worm,/wɜːm/,wɜɜm,cuc,/ˈkuk/,gusano,/ɡuˈsa.no/,0.883333333333333,0,0,1,0,0,0.616666666666666,0.322222222222222,0.322222222222222,4.10448482,Sounds/cat_cuc.wav,FALSE,3,0
11311,129,Catalan,dit,English,,1.117000103,1.117000103,dit,/dit/,finger,/ˈfɪŋgə/,fɪŋgə,dit,/dit/,dedo,/ˈde.ðo/,0.88,0.133333333333333,0.133333333333333,0.86,0.2,0.2,0.625,0.577380952380952,0.577380952380952,5.94433619,Sounds/cat_dit.wav,FALSE,,
11311,130,Catalan,entrepa,English,people,2.899999857,4,entrepà,/ˌen.tɾəˈpa/,sandwich,/ˈsænwɪʤ/,sænwɪʤ,entrepà,/ˌen.tɾəˈpa/,bocadillo,/bo.kaˈdi.ʎo/,0.712499999999999,0.25,0.25,0.785714285714285,0.153846153846153,0.153846153846153,0.825,0.183333333333333,0.183333333333333,4.26586972,Sounds/cat_entrepa.wav,FALSE,7,0.0204081632653061
11311,131,Catalan,esponja,English,,4.082999945,4.082999945,esponja,/əsˈpɔn.ʒə/,sponge,/spʌnʤ/,spʌnʤ,esponja,/əsˈpɔn.ʒə/,esponja,/esˈpoŋ.xa/,0.571428571428571,0.485714285714285,0.571428571428571,0.385714285714285,0.595238095238095,0.652380952380952,0.314285714285714,0.628571428571428,0.628571428571428,3.65432638,Sounds/cat_esponja.wav,FALSE,,
11311,133,Catalan,estruc,English,ostrich,1.332999945,2.715000153,estruç,/əsˈtɾus/,ostrich,/ˈɒstrɪʧ/,ɒstrɪʧ,estruç,/əsˈtɾus/,avestruz,/a'βes.tɾuθ/,0.5375,0.394047619047619,0.619047619047619,0.466666666666666,0.422222222222222,0.722222222222222,0.2875,0.663095238095238,0.738095238095238,3.39446915,Sounds/cat_estruc.wav,FALSE,7,0.0612244897959184
11311,134,Catalan,flor,English,flower,0.23300004,1.585000038,flor,/ˈfɫɔ/,flower,/ˈflaʊə/,flaʊə,flor,/ˈfɫɔ/,flor,/ˈfloɾ/,0.38,0.544444444444444,0.544444444444444,0.62,0.55,0.55,0.75,0.910714285714285,1,4.60211014,Sounds/cat_flor.wav,FALSE,6,0.111111111111111
11311,135,Catalan,formiga,English,ant,0.5,0.850000143,formiga,/furˈmi.ɡə/,ant,/ænt/,ænt,formiga,/furˈmi.ɡə/,hormiga,/oɾˈmi.ɣa/,0.783333333333333,0.199999999999999,0.166666666666666,0.814285714285714,0,0,0.428571428571428,0.383882783882783,0.498168498168498,3.69297784,Sounds/cat_formiga.wav,FALSE,7,0
11311,136,Catalan,forquilla,English,fork,3.585000038,4.518000126,forquilla,/furˈki.ʎə/,fork,/fɔːk/,fɔɔk,forquilla,/furˈki.ʎə/,tenedor,/te.neˈðoɾ/,0.785714285714285,0.285714285714285,0.285714285714285,0.485714285714285,0.53030303030303,0.53030303030303,0.885714285714285,0.0285714285714285,0.142857142857142,3.73797607,Sounds/cat_forquilla.wav,FALSE,9,0.037037037037037
11311,137,Catalan,fulla,English,leaf,1.199999809,1.616999865,fulla,/ˈfu.ʎə/,leaf,/liːf/,liif,fulla,/ˈfu.ʎə/,hoja,/ˈo.xa/,1,0.166666666666666,0.166666666666666,0.9,0.25,0.25,0.75,0,0,4.24216321,Sounds/cat_fulla.wav,FALSE,5,0.04
11311,138,Catalan,galeta,English,cock,1.750999928,2.967999935,galeta,/ɡəˈɫɛ.tə/,biscuit,/ˈbɪskɪt/,bɪskɪt,galeta,/ɡəˈɫɛ.tə/,galleta,/ɡaˈʎe.ta/,0.766666666666666,0.344444444444444,0.277777777777777,0.8,0.288888888888888,0.222222222222222,0.366666666666666,0.694444444444444,0.794444444444444,3.97296075,Sounds/cat_galeta.wav,FALSE,6,0
11311,139,Catalan,galleda,English,cracker,3.832999945,19.67000008,galleda,/ɡəˈʎɛ.ðə/,bucket,/ˈbʌkɪt/,bʌkɪt,galleda,/ɡəˈʎɛ.ðə/,cubo,/'ku.βo/,1,0.288888888888888,0.288888888888888,1,0.288888888888888,0.222222222222222,0.716666666666666,0.155555555555555,0.155555555555555,3.83053279,Sounds/cat_galleda.wav,FALSE,7,0.0204081632653061
11311,140,Catalan,gat,English,cat,1.001000166,4.235000134,gat,/ˈɡat/,cat,/kæt/,kæt,gat,/ˈɡat/,gato,/ˈɡa.to/,0.175,0.685714285714285,0.685714285714285,0.0666666666666666,0.866666666666666,0.866666666666666,0.125,0.982142857142857,0.982142857142857,4.86519569,Sounds/cat_gat.wav,FALSE,3,0.222222222222222
11311,141,Catalan,gerd,English,unsure,3.76699996,4.717000008,gerd,/ˈʒɛrt/,grass,/grɑːs/,grɑɑs,gerd,/ˈʒɛrt/,césped,/ˈθes.ped/,0.833333333333333,0.181818181818181,0.181818181818181,0.8,0.222222222222222,0.222222222222222,0.716666666666666,0.399999999999999,0.5,2.96996445,Sounds/cat_gerd.wav,FALSE,6,0.0277777777777778
11311,142,Catalan,girafa,English,giraffe,0.350000143,1.334000111,girafa,/ʒiˈɾa.fə/,giraffe,/ʤɪˈrɑːf/,ʤɪrɑɑf,girafa,/ʒiˈɾa.fə/,jirafa,/xi'ɾa.fa/,0.633333333333333,0.477777777777777,0.711111111111111,0.6,0.477777777777777,0.677777777777777,0.233333333333333,0.722222222222222,0.722222222222222,3.63090287,Sounds/cat_girafa.wav,FALSE,7,0.102040816326531
11311,143,Catalan,globus,English,gloves,2.334000111,3.235000134,globus,/ˈɡɫɔ.βus/,balloon,/bəˈluːn/,bəluun,globus,/ˈˈɡɫɔ.βus/,globo,/ˈɡlo.βo/,0.733333333333333,0.359595959595959,0.292929292929292,0.666666666666666,0.399999999999999,0.333333333333333,0.25,0.891414141414141,0.891414141414141,4.47065471,Sounds/cat_globus.wav,FALSE,6,0.111111111111111
11311,144,Catalan,gorra,English,,4.650000095,4.650000095,gorra,/ˈɡo.rə/,cap,/ˈkæp/,kæp,gorra,/ˈɡo.rə/,gorra,/ˈɡo.ra/,1,0.4,0.4,1,0.15,0.15,0.2,0.958333333333333,0.958333333333333,4.02496031,Sounds/cat_gorra.wav,FALSE,,
11311,145,Catalan,got,English,god,4.183000088,4.733999968,got,/ˈɡɔt/,cup,/kʌp/,kʌp,got,/ˈɡɔt/,vaso,/ˈba.so/,1,0.0833333333333333,0.0833333333333333,0.266666666666666,0.555555555555555,0.555555555555555,1,0.4,0.25,4.57894281,Sounds/cat_got.wav,FALSE,3,0.222222222222222
11311,146,Catalan,guitarra,English,guitar,0.15199995,1.802000046,guitarra,/giˈta.rə/,guitar,/gɪˈtɑː/,gɪtɑɑ,guitarra,/giˈta.rə/,guitarra,/giˈta.ra/,0.316666666666666,0.724747474747474,0.724747474747474,0.383333333333333,0.724747474747474,0.724747474747474,0.133333333333333,0.972222222222222,0.972222222222222,4.37905182,Sounds/cat_guitarra.wav,FALSE,8,0.09375
11311,148,Catalan,lleo,English,unsure,3.582999945,4.282999992,lleó,/ʎəˈo/,lion,/ˈlaɪən/,laɪən,lleó,/ʎəˈo/,león,/leˈon/,0.3,0.677777777777777,0.677777777777777,0.7,0.25,0.37,0.5,0.452380952380952,0.602380952380952,4.49996701,Sounds/cat_lleo.wav,FALSE,6,0
11311,149,Catalan,llibre,English,book,1.083999872,5.484999895,llibre,/ˈʎi.βɾə/,book,/bʊk/,bʊk,llibre,/ˈʎi.βɾə/,libro,/ˈli.βɾo/,0.78,0.0666666666666666,0.0666666666666666,0.78,0.0666666666666666,0.0666666666666666,0.24,0.666666666666666,0.786666666666666,5.24541757,Sounds/cat_llibre.wav,FALSE,6,0
11311,150,Catalan,lloro,English,gold,2.334000111,2.983999968,lloro,/ʎoˈɾu/,parrot,/ˈpærət/,pærət,lloro,/ʎoˈɾu/,loro,/'lo.ɾo/,1,0.266666666666666,0.266666666666666,1,0.04,0.2,0.25,0.666666666666666,0.816666666666666,3.9073666,Sounds/cat_lloro.wav,FALSE,5,0.04
11311,151,Catalan,lluna,English,moon,0.565000057,2.265000105,lluna,/ˈʎu.nə/,moon,/muːn/,muun,lluna,/ˈʎu.nə/,luna,/'lu.na/,0.7,0.5,0.5,0.75,0.5,0.5,0.35,0.583333333333333,0.733333333333333,4.86014893,Sounds/cat_lluna.wav,FALSE,5,0.04
11311,152,Catalan,ma,English,,1.131999969,1.131999969,ma,/ˈma/,hand,/hænd/,hænd,ma,/ˈma/,mano,/'ma.no/,0.5,0.5,0.5,0.725,0.25,0.25,0.375,0.791666666666666,0.791666666666666,4.70479504,Sounds/cat_ma.wav,FALSE,,
11311,153,Catalan,mico,English,freind,1.267999887,2.017999887,mico,/ˈmi.ku/,monkey,/ˈmʌŋki/,mʌŋkɪ,mico,/ˈmi.ku/,mono,/'mo.no/,0.7,0.535555555555555,0.535555555555555,0.42,0.677777777777777,0.677777777777777,0.6,0.541666666666666,0.541666666666666,4.30734691,Sounds/cat_mico.wav,FALSE,6,0.0277777777777778
11311,154,Catalan,mirall,English,view,1.700000048,5.101000071,mirall,/miˈɾaʎ/,mirror,/ˈmɪrə/,mɪrə,mirall,/miˈɾaʎ/,espejo,/es'pe.xo/,0.683333333333333,0.111111111111111,0.111111111111111,0.7,0.628888888888888,0.788888888888888,0.916666666666666,0.111111111111111,0.111111111111111,4.41340798,Sounds/cat_mirall.wav,FALSE,6,0.0277777777777778
11311,155,Catalan,moneda,English,coin,1.218000174,1.700999975,moneda,/muˈnɛ.ðə/,coin,/kɔɪn/,kɔɪn,moneda,/muˈnɛ.ðə/,moneda,/mo'ne.ða/,0.85,0.366666666666666,0.366666666666666,0.85,0.311111111111111,0.311111111111111,0.2,0.916666666666666,0.916666666666666,4.33198269,Sounds/cat_moneda.wav,FALSE,6,0.0277777777777778
11311,156,Catalan,moto,English,motorbike,1.299999952,2.75,moto,/ˈmo.tu/,motorbike,/ˈməʊtəˌbaɪk/,məʊtəbaɪk,moto,/ˈmo.tu/,moto,/'mo.to/,0.488888888888888,0.437321937321937,0.437321937321937,0.488888888888888,0.4002849002849,0.4002849002849,0.1,1,1,4.58793204,Sounds/cat_moto.wav,FALSE,9,0.0493827160493827
11311,157,Catalan,mussol,English,museum,0.86500001,1.815999985,mussol,/muˈsɔɫ/,owl,/aʊl/,aʊl,mussol,/muˈsɔɫ/,búho,/'bu.o/,0.666666666666666,0.333333333333333,0.333333333333333,0.58,0.4,0.4,0.58,0.49,0.45,3.96610552,Sounds/cat_mussol.wav,FALSE,6,0.0833333333333333
11311,158,Catalan,nas,English,,3.48300004,3.48300004,nas,/nas/,nose,/nəʊz/,nəʊz,nas,/nas/,nariz,/naˈɾiθ/,0.54,0.388888888888888,0.388888888888888,0.425,0.494047619047619,0.494047619047619,0.38,0.6,0.8,4.71446806,Sounds/cat_nas.wav,FALSE,,
11311,160,Catalan,orella,English,ear,1.8349998,2.284999847,orella,/uˈɾɛ.ʎə/,ear,/ɪə/,ɪə,orella,/uˈɾɛ.ʎə/,oreja,/oˈɾe.xa/,0.76,0,0,0.6,0.352380952380952,0.352380952380952,0.4,0.6,0.6,4.32303692,Sounds/cat_orella.wav,FALSE,6,0.0277777777777778
11311,161,Catalan,ovella,English,hotel,1.883999825,2.849999905,ovella,/uˈbɛ.ʎə/,sheep,/ʃiːp/,ʃiip,ovella,/uˈbɛ.ʎə/,oveja,/o'βe.xa/,0.7,0.133333333333333,0.133333333333333,0.78,0.133333333333333,0.133333333333333,0.48,0.44,0.4,3.95690835,Sounds/cat_ovella.wav,FALSE,6,0.0555555555555556
11311,162,Catalan,pa,English,bread,1.26699996,1.884000063,pa,/pa/,bread,/brɛd/,brɛd,pa,/pa/,pan,/ˈpan/,0.7,0.15,0.15,1,0.15,0.15,0.333333333333333,0.966666666666666,0.966666666666666,5.10369983,Sounds/cat_pa.wav,FALSE,5,0.04
11311,163,Catalan,papallona,English,papaya,3.203999996,4.513999939,papallona,/pə.pəˈʎo.nə/,butterfly,/ˈbʌtəflaɪ/,bʌtəflaɪ,papallona,/pə.pəˈʎo.nə/,mariposa,/ma.ɾiˈpo.sa/,0.675,0.275,0.25,0.575,0.225,0.2,0.674999999999999,0.291666666666666,0.291666666666666,4.01438359,Sounds/cat_papallona.wav,FALSE,9,0.0617283950617284
11311,164,Catalan,patata,English,potato,0.184000015,1.55099988,patata,/pəˈta.tə/,potato,/pəˈteɪtəʊ/,pəteɪtəʊ,patata,/pəˈta.tə/,patata,/paˈta.ta/,0.4,0.657738095238095,0.657738095238095,0.175,0.860119047619047,0.860119047619047,0.266666666666666,0.861111111111111,0.861111111111111,4.43921987,Sounds/cat_patata.wav,FALSE,6,0.111111111111111
11311,165,Catalan,pernil,English,ork,3.316999912,5.851999998,pernil,/pərˈniɫ/,ham,/hæm/,hæm,pernil,/pərˈniɫ/,jamón,/xaˈmon/,0.3,0.75,0.75,0.783333333333333,0.0555555555555555,0.0555555555555555,0.8,0.237373737373737,0.237373737373737,4.22505132,Sounds/cat_pernil.wav,FALSE,6,0.0277777777777778
11311,166,Catalan,peu,English,piece,1.25,4.300000191,peu,/pɛw/,foot,/fʊt/,fʊt,peu,/pɛw/,pierna,/ˈpjer.na/,0.916666666666666,0.0333333333333333,0,0.799999999999999,0.0666666666666666,0,0.75,0.472222222222222,0.472222222222222,4.93358884,Sounds/cat_peu.wav,FALSE,5,0.08
11311,168,Catalan,planta,English,plant,0.434000015,1.467000008,planta,/ˈpɫan.tə/,plant,/plɑːnt/,plɑɑnt,planta,/ˈpɫan.tə/,planta,/ˈplan.ta/,0.233333333333333,0.861111111111111,0.861111111111111,0.483333333333333,0.861111111111111,0.861111111111111,0.133333333333333,0.972222222222222,0.972222222222222,4.76538989,Sounds/cat_planta.wav,FALSE,6,0.138888888888889
11311,169,Catalan,plat,English,plate,0.983999968,4.134000063,plat,/ˈpɫat/,plate,/pleɪt/,pleɪt,plat,/ˈpɫat/,plato,/ˈpla.to/,0.48,0.833333333333333,0.833333333333333,0.48,0.877777777777777,0.877777777777777,0.1,0.966666666666666,0.966666666666666,5.01417243,Sounds/cat_plat.wav,FALSE,5,0.16
11311,170,Catalan,ploma,English,lead,0.881999969,1.349999905,ploma,/ˈplo.mə/,feather,/ˈfɛðə/,fɛðə,ploma,/ˈplo.mə/,pluma,/ˈpo.ʎo/,0.65,0.216666666666666,0.166666666666666,0.68,0.262222222222222,0.222222222222222,0.52,0.611111111111111,0.611111111111111,3.98651569,Sounds/cat_ploma.wav,FALSE,5,0.04
11311,171,Catalan,pollastre,English,chicken,1.667000055,2.76699996,pollastre,/puˈʎas.tɾə/,chicken,/ˈʧɪkɪn/,ʧɪkɪn,pollastre,/puˈʎas.tɾə/,pollo,/ˈpo.ʎo/,1,0,0,0.8625,0.125,0.25,0.5625,0.479166666666666,0.479166666666666,4.54185237,Sounds/cat_pollastre.wav,FALSE,9,0
11311,172,Catalan,poma,English,cream,2.750999928,3.851000071,poma,/ˈpo.ma/,apple,/ˈæpl/,æpəl,poma,/ˈpo.ma/,manzana,/manˈθa.na/,0.928571428571428,0.142857142857142,0.142857142857142,1,0.333333333333333,0.333333333333333,0.671428571428571,0.363636363636363,0.363636363636363,4.36983777,Sounds/cat_poma.wav,FALSE,5,0.04
11311,173,Catalan,porc,English,pork,2.052000046,2.786000013,porc,/ˈpɔrk/,pig/pork,/pɪg/pɔːk/,pɪg,porc,/ˈpɔrk/,cerdo,/'θeɾ.ðo/,0.9,0.133333333333333,0.133333333333333,0.425,0.410714285714285,0.410714285714285,0.96,0.24,0.4,4.67792748,Sounds/cat_porc.wav,FALSE,4,0.1875
11311,174,Catalan,porta,English,door,0.766000032,1.433000088,porta,/ˈpɔr.tə/,door,/dɔː/,dɔɔ,porta,/ˈpɔr.tə/,puerta,/ˈpwer.ta/,0.816666666666666,0.0555555555555555,0.0555555555555555,0.64,0.25,0.25,0.4,0.684343434343434,0.684343434343434,5.68822015,Sounds/cat_porta.wav,FALSE,5,0.04
