trial_id,word,orthography,phonology,translation_english_orthography,translation_english_phonology,translation_catalan_orthography,translation_catalan_phonology,translation_spanish_orthography,translation_spanish_phonology,frequency_zipf,language,soundfile,practice,phoword_eng,lengtho_eng,lengthp_eng,freq_eng,pthn_eng,phoword_spa,lengtho_spa,lengthp_spa,freq_spa,pthn_spa,similarity_engspa,same_onset_engspa,consecutive_longest_engspa,close_substitutions_engspa,similarity_engcat,same_onset_engcat,consecutive_longest_engcat,close_substitutions_engcat,similarity_spacat,same_onset_spacat,consecutive_longest_spacat,close_substitutions_spacat
126,corona,corona,/kuˈɾo.nə/,crown,/kraʊn/,corona,/kuˈɾo.nə/,corona,/koˈɾo.na/,4.28706305,Catalan,Sounds/cat_corona.wav,FALSE,k.r0.aU.n,5,4,13.6863,4,k.o.4.o.n.a,,,13.1731,1,0.545454545454545,same_consonant,1,0,0.545454545454545,same_consonant,1,0,0.666666666666666,same_consonant,3,0.166666666666666
127,cotxe,cotxe,/ˈkɔ.t͡ʃə/,car,/kɑː/,cotxe,/ˈkɔ.t͡ʃə/,coche,/ˈko.t͡ʃe/,5.37553408,Catalan,Sounds/cat_cotxe.wav,FALSE,k.Ar,3,2,483.0588,2,k.o.tS.e,,,115.649,0,0.333333333333333,same_consonant,1,0,0.333333333333333,same_consonant,1,0,0.5,same_consonant,1,0.25
128,cuc,cuc,/ˈkuk/,worm,/wɜːm/,cuc,/ˈkuk/,gusano,/ɡuˈsa.no/,4.10448482,Catalan,Sounds/cat_cuc.wav,FALSE,w.36.m,4,3,10.1176,8,g.u.s.a.n.o,,,10.0962,5,0,different,0,0,0,different,0,0,0.222222222222222,different,1,0.222222222222222
129,dit,dit,/dit/,finger,/ˈfɪŋgə/,dit,/dit/,dedo,/ˈde.ðo/,5.94433619,Catalan,Sounds/cat_dit.wav,FALSE,f.I.N.g.56,6,5,36.6667,0,d.e.D.o,,,45.7933,1,0,different,0,0.222222222222222,0.25,different,1,0,0.285714285714285,same_consonant,1,0.285714285714285
130,entrepa,entrepà,/ˌen.tɾəˈpa/,sandwich,/ˈsænwɪʤ/,entrepà,/ˌen.tɾəˈpa/,bocadillo,/bo.kaˈdi.ʎo/,4.26586972,Catalan,Sounds/cat_entrepa.wav,FALSE,s.1.n.d.w.I.tS,8,7,21.9216,0,b.o.k.a.D.i.L.o,,,4.6875,0,0.285714285714285,different,1,0.142857142857142,0.153846153846153,different,1,0,0.133333333333333,different,1,0
131,esponja,esponja,/əsˈpɔn.ʒə/,sponge,/spʌnʤ/,esponja,/əsˈpɔn.ʒə/,esponja,/esˈpoŋ.xa/,3.65432638,Catalan,Sounds/cat_esponja.wav,FALSE,s.p.V.n.dZ,6,5,6.7059,0,e.s.p.o.N.x.a,,,7.0433,0,0.333333333333333,different,2,0,0.5,different,2,0.333333333333333,0.285714285714285,different,2,0.142857142857142
132,estrella,estrella,/esˈtɾe.ʎa/,star,/stɑː/,estrella,/əsˈtɛɫ/,estrella,/esˈtɾe.ʎa/,4.21699298,Catalan,Sounds/cat_estrella.wav,FALSE,s.t.Ar,4,3,81.3529,3,e.s.t.4.e.L.a,,,61.0577,0,0.4,different,2,0,0.4,different,2,0,1,same_vowel,7,0
133,estruc,estruç,/əsˈtɾus/,ostrich,/ˈɒstrɪʧ/,estruç,/əsˈtɾus/,avestruz,/a'βes.tɾuθ/,3.39446915,Catalan,Sounds/cat_estruc.wav,FALSE,A.s.t.r0.I.tS,7,6,0.94118,0,a.B.e.s.t.4.u.T,,,0.84135,1,0.428571428571428,different,3,0,0.5,different,3,0,0.571428571428571,different,4,0.142857142857142
134,flor,flor,/ˈfɫɔ/,flower,/ˈflaʊə/,flor,/ˈfɫɔ/,flor,/ˈfloɾ/,4.60211014,Catalan,Sounds/cat_flor.wav,FALSE,f.l.aU.56,6,4,22.7647,1,f.l.o.4,,,16.6346,1,0.444444444444444,same_consonant,2,0,0.5,same_consonant,2,0,0.571428571428571,same_consonant,2,0.285714285714285
135,formiga,formiga,/furˈmi.ɡə/,ant,/ænt/,formiga,/furˈmi.ɡə/,hormiga,/oɾˈmi.ɣa/,3.69297784,Catalan,Sounds/cat_formiga.wav,FALSE,1.n.t,3,3,5.3529,9,o.4.m.i.G.a,,,2.6442,0,0.222222222222222,different,1,0,0,different,0,0,0.461538461538461,different,3,0
136,forquilla,forquilla,/furˈki.ʎə/,fork,/fɔːk/,forquilla,/furˈki.ʎə/,tenedor,/te.neˈðoɾ/,3.73797607,Catalan,Sounds/cat_forquilla.wav,FALSE,f.or.k,4,3,8.8235,12,t.e.n.e.D.o.4,,,5.9856,8,0,different,0,0,0.4,same_consonant,1,0,0.142857142857142,different,1,0
137,fulla,fulla,/ˈfu.ʎə/,leaf,/liːf/,fulla,/ˈfu.ʎə/,hoja,/ˈo.xa/,4.24216321,Catalan,Sounds/cat_fulla.wav,FALSE,l.i.f,4,3,5.1961,13,o.x.a,,,13.2212,1,,,,,0.285714285714285,different,1,0,0,different,0,0
138,galeta,galeta,/ɡəˈɫɛ.tə/,biscuit,/ˈbɪskɪt/,galeta,/ɡəˈɫɛ.tə/,galleta,/ɡaˈʎe.ta/,3.97296075,Catalan,Sounds/cat_galeta.wav,FALSE,,,,,,g.a.L.e.t.a,,,11.274,7,0.166666666666666,different,1,0,0.166666666666666,different,1,0,0.333333333333333,same_consonant,1,0.166666666666666
139,galleda,galleda,/ɡəˈʎɛ.ðə/,bucket,/ˈbʌkɪt/,galleda,/ɡəˈʎɛ.ðə/,cubo,/'ku.βo/,3.83053279,Catalan,Sounds/cat_galleda.wav,FALSE,b.V.k.I0.t,6,5,10.0196,1,k.u.B.o,,,8.101,2,0.222222222222222,different,1,0,0,different,0,0,0,different,0,0.2
140,gat,gat,/ˈɡat/,cat,/kæt/,gat,/ˈɡat/,gato,/ˈɡa.to/,4.86519569,Catalan,Sounds/cat_gat.wav,FALSE,k.1.t,3,3,66.3333,9,g.a.t.o,,,53.9904,0,0.571428571428571,different,2,0.285714285714285,0.666666666666666,different,2,0.333333333333333,0.857142857142857,same_consonant,3,0
141,gerd,gerd,/ˈʒɛrt/,grass,/grɑːs/,gerd,/ˈʒɛrt/,césped,/ˈθes.ped/,2.96996445,Catalan,Sounds/cat_gerd.wav,FALSE,g.r0.1.s,5,4,16.7843,4,T.E.s.p.e.d,,,14.2548,0,,,,,0.25,different,1,0,0,different,0,0.2
142,girafa,girafa,/ʒiˈɾa.fə/,giraffe,/ʤɪˈrɑːf/,girafa,/ʒiˈɾa.fə/,jirafa,/xi'ɾa.fa/,3.63090287,Catalan,Sounds/cat_girafa.wav,FALSE,dZ.I0.r0.1.f,7,5,1.4902,0,x.i.4.a.f.a,,,1.9712,1,0.545454545454545,different,2,0,0.545454545454545,different,2,0.181818181818181,0.666666666666666,different,4,0
143,globus,globus,/ˈɡɫɔ.βus/,balloon,/bəˈluːn/,globus,/ˈˈɡɫɔ.βus/,globo,/ˈɡlo.βo/,4.47065471,Catalan,Sounds/cat_globus.wav,FALSE,b.5.l.u.n,7,5,8.6667,0,g.l.o.B.o,,,11.6346,2,0.2,different,1,0.2,0.363636363636363,different,1,0,0.545454545454545,same_consonant,2,0.363636363636363
144,gorra,gorra,/ˈɡo.rə/,cap,/ˈkæp/,gorra,/ˈɡo.rə/,gorra,/ˈɡo.ra/,4.02496031,Catalan,Sounds/cat_gorra.wav,FALSE,k.1.p,3,3,18.7451,11,g.o.r.r.a,,,8.75,8,,,,,0,different,0,0.285714285714285,0.75,same_consonant,3,0
145,got,got,/ˈɡɔt/,cup,/kʌp/,got,/ˈɡɔt/,vaso,/ˈba.so/,4.57894281,Catalan,Sounds/cat_got.wav,FALSE,k.V.p,3,3,51.6471,6,b.a.s.o,,,26.0577,0,,,,,0,different,0,0.666666666666666,0,different,0,0
146,guitarra,guitarra,/giˈta.rə/,guitar,/gɪˈtɑː/,guitarra,/giˈta.rə/,guitarra,/giˈta.ra/,4.37905182,Catalan,Sounds/cat_guitarra.wav,FALSE,g.I0.t.Ar,6,4,15.5882,0,g.i.t.a.r.r.a,,,17.5962,1,0.6,same_consonant,3,0,0.6,same_consonant,3,0,0.833333333333333,same_consonant,5,0
148,lleo,lleó,/ʎəˈo/,lion,/ˈlaɪən/,lleó,/ʎəˈo/,león,/leˈon/,4.49996701,Catalan,Sounds/cat_lleo.wav,FALSE,l.aI.5.n,4,4,15.3529,1,l.e.o.n,,,17.5962,6,0.444444444444444,same_consonant,1,0,0.25,different,1,0,0.285714285714285,different,1,0
149,llibre,llibre,/ˈʎi.βɾə/,book,/bʊk/,llibre,/ˈʎi.βɾə/,libro,/ˈli.βɾo/,5.24541757,Catalan,Sounds/cat_llibre.wav,FALSE,b.U.k,4,3,176.9804,3,l.i.B.4.o,,,159.7356,11,0,different,0,0,0,different,0,0,0.6,different,3,0
150,lloro,lloro,/ʎoˈɾu/,parrot,/ˈpærət/,lloro,/ʎoˈɾu/,loro,/'lo.ɾo/,3.9073666,Catalan,Sounds/cat_lloro.wav,FALSE,p.1.r0.5.t,6,5,3.2745,2,l.o.4.o,,,4.0625,1,0.222222222222222,different,1,0,0.222222222222222,different,1,0,0.5,different,2,0.25
151,lluna,lluna,/ˈʎu.nə/,moon,/muːn/,lluna,/ˈʎu.nə/,luna,/'lu.na/,4.86014893,Catalan,Sounds/cat_lluna.wav,FALSE,m.u.n,4,3,49.9608,6,l.u.n.a,,,66.0096,1,0.571428571428571,different,2,0,0.571428571428571,different,2,0,0.5,different,2,0
152,ma,ma,/ˈma/,hand,/hænd/,ma,/ˈma/,mano,/'ma.no/,4.70479504,Catalan,Sounds/cat_ma.wav,FALSE,h.1.n.d,4,4,279.6471,2,m.a.n.o,,,255.9615,2,0.5,different,2,0,0.333333333333333,different,1,0,0.666666666666666,same_consonant,2,0
153,mico,mico,/ˈmi.ku/,monkey,/ˈmʌŋki/,mico,/ˈmi.ku/,mono,/'mo.no/,4.30734691,Catalan,Sounds/cat_mico.wav,FALSE,m.V.n.k.i,6,5,33.5098,1,m.o.n.o,,,33.125,0,0.222222222222222,same_consonant,1,0,0.444444444444444,same_consonant,1,0,0.25,same_consonant,1,0.25
154,mirall,mirall,/miˈɾaʎ/,mirror,/ˈmɪrə/,mirall,/miˈɾaʎ/,espejo,/es'pe.xo/,4.41340798,Catalan,Sounds/cat_mirall.wav,FALSE,m.I.r0.56,6,4,24.1765,0,e.s.p.e.x.o,,,28.2212,0,,,,,0.666666666666666,same_consonant,3,0,0,different,0,0
155,moneda,moneda,/muˈnɛ.ðə/,coin,/kɔɪn/,moneda,/muˈnɛ.ðə/,moneda,/mo'ne.ða/,4.33198269,Catalan,Sounds/cat_moneda.wav,FALSE,k.OI.n,4,3,9.7451,6,m.o.n.e.D.a,,,18.0288,8,0.2,different,1,0.2,0.2,different,1,0,0.5,same_consonant,1,0.333333333333333
156,moto,moto,/ˈmo.tu/,motorbike,/ˈməʊtəˌbaɪk/,moto,/ˈmo.tu/,moto,/'mo.to/,4.58793204,Catalan,Sounds/cat_moto.wav,FALSE,m.oU.t.5.b.aI.k,9,7,0.7451,0,m.o.t.o,,,17.1394,4,0.307692307692307,same_consonant,1,0,0.307692307692307,same_consonant,1,0,0.75,same_consonant,3,0.25
