TrialID,Word,FileName,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,welcome_text.started,welcome_text.stopped,trial_fixation.started,trial_fixation.stopped,trial_word.started,trial_word.stopped,trial_sound.started,trial_sound.stopped,trial_response_display.started,trial_response_display.stopped,keyPresses,Code,City,Native language,English proficiency,Spanish proficiency,Catalan proficiency,date,expName,psychopyVersion,frameRate,experiment,
32,formiga,Stimuli/Sounds/formiga.wav,0,0,0,31,63.5962247009993,None,100.82703403999949,101.83355617100096,101.81487991600079,None,101.81483291299938,None,101.81487991600079,None,ant,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
39,girafa,Stimuli/Sounds/girafa.wav,0,1,1,38,,,107.34499629499987,108.34734407600081,108.33126303400059,107.34499629499987,108.33055992700011,None,108.33126303400059,107.34499629499987,giraffe,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
4,amanida,Stimuli/Sounds/amanida.wav,0,2,2,3,,,113.84689872700073,114.84825132300102,114.83305952000046,113.84689872700073,114.83167260300016,None,114.83305952000046,113.84689872700073,salad,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
40,globus,Stimuli/Sounds/globus.wav,0,3,3,39,,,120.37997794799958,121.38198526700035,121.36820499100031,120.37997794799958,121.36582017499987,None,121.36820499100031,120.37997794799958,oodlspwodoodoos,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
57,orella,Stimuli/Sounds/orella.wav,0,4,4,56,,,126.9159081960006,127.91644382800041,127.9029231250006,126.9159081960006,127.90324404399999,None,127.9029231250006,126.9159081960006,ooekdskso,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
11,bol,Stimuli/Sounds/bol.wav,0,5,5,10,,,133.456151417,134.469329122001,134.45120903499992,133.456151417,134.43362915100025,None,134.45120903499992,133.456151417,  m   m    m    m  kk,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
24,cotxe,Stimuli/Sounds/cotxe.wav,0,6,6,23,,,139.99991773799957,141.0178497750003,141.0178497750003,139.99991773799957,140.99926806000022,None,141.0178497750003,139.99991773799957,k gofsd ,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
33,forquilla,Stimuli/Sounds/forquilla.wav,0,7,7,32,,,146.5673755810003,147.58588743499968,147.57228588699945,146.5673755810003,147.55474696500042,None,147.57228588699945,146.5673755810003,dkkkd,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
29,estrella,Stimuli/Sounds/estrella.wav,0,8,8,28,,,153.11684113299998,154.11977216800005,154.0866276329998,153.11684113299998,154.08704267200065,None,154.0866276329998,153.11684113299998,no special characters,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
65,planta,Stimuli/Sounds/planta.wav,0,9,9,64,,,159.63556573800088,160.63701609300006,160.6206104060002,159.63556573800088,160.62054851200028,None,160.6206104060002,159.63556573800088,no numbers,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
80,tren,Stimuli/Sounds/tren.wav,0,10,10,79,,,166.1516715960006,167.15595722299986,167.13851897099994,166.1516715960006,167.14000802499996,None,167.13851897099994,166.1516715960006,not possible to delete,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
31,flor,Stimuli/Sounds/flor.wav,0,11,11,30,,,172.67057494300025,173.672522107001,173.64111739200052,172.67057494300025,173.64026693699944,None,173.64111739200052,172.67057494300025,,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
53,moto,Stimuli/Sounds/moto.wav,0,12,12,52,,,179.1701393149997,180.17315540100026,180.14181292099966,179.1701393149997,180.14048485200092,None,180.14181292099966,179.1701393149997,white text ,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
78,tobogan,Stimuli/Sounds/tobogan.wav,0,13,13,77,,,185.68728236300012,186.70615423600066,186.67464739299976,185.68728236300012,186.6729759139993,None,186.67464739299976,185.68728236300012,will not be visible ,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
46,llibre,Stimuli/Sounds/llibre.wav,0,14,14,45,,,192.20883683000102,193.2244884619995,193.17466158299976,192.20883683000102,193.17416968499984,None,193.17466158299976,192.20883683000102,for participants,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
42,got,Stimuli/Sounds/got.wav,0,15,15,41,,,198.7112516140005,199.72475142999974,199.69151000800048,198.7112516140005,199.69198192999957,None,199.69151000800048,198.7112516140005,there are  trials,001,London,Spanish,3,5 (Native),2,2020-03-19-0029,TransElicitation,3.2.4,60.00073680933238,Translation Elicitation task,
