group,trial_id,test_language,word,freq,pthn,onset,stress_overlap,vowel_ratio,consonant_ratio,correct,n,proportion
SPA-CAT,173,Catalan,porc,,,Different,Overlap,0.07,0.5,18,30,0.6
SPA-CAT,174,Catalan,porta,,,Same,Overlap,0.09,0.55,27,30,0.9
SPA-CAT,175,Catalan,raspall,,,Different,Overlap,0.22,0.46,0,29,0
SPA-CAT,176,Catalan,samarreta,,,Different,No overlap,0.31,0.43,4,29,0.137931034482759
SPA-CAT,177,Catalan,sol,,,Same,Overlap,0.28,0.67,29,30,0.966666666666667
SPA-CAT,178,Catalan,taronja,,,Different,Overlap,0.19,0.5,4,29,0.137931034482759
SPA-CAT,179,Catalan,tigre,,,Same,Overlap,0.37,0.57,24,26,0.923076923076923
SPA-CAT,180,Catalan,tisores,,,Same,No overlap,0.29,0.53,11,30,0.366666666666667
SPA-CAT,181,Catalan,tobogan,,,Same,Overlap,0.38,0.57,29,30,0.966666666666667
SPA-CAT,182,Catalan,tomaquet,,,Same,Overlap,0.28,0.46,27,29,0.931034482758621
SPA-CAT,183,Catalan,tren,,,Same,Overlap,0.21,0.75,30,30,1
SPA-CAT,184,Catalan,ull,,,Different,No overlap,0.33,0.29,5,27,0.185185185185185
SPA-CAT,185,Catalan,ulleres,,,Different,No overlap,0,0.18,0,28,0
SPA-CAT,187,Catalan,vaixell,,,Same,Overlap,0.1,0.35,0,28,0
SPA-CAT,188,Catalan,xocolata,,,Different,Overlap,0.44,0.49,30,30,1
SPA-CAT,189,Catalan,zebra,,,Different,Overlap,0.3,0.55,29,30,0.966666666666667
