TrialID,Word,FileName,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,trial_fixation.started,trial_fixation.stopped,trial_word.started,trial_word.stopped,trial_sound.started,trial_sound.stopped,trial_response_display.started,trial_response_display.stopped,Code,City,Native language,English proficiency,Spanish proficiency,Catalan proficiency,date,expName,psychopyVersion,frameRate,experiment,
85,xocolata,Stimuli/Sounds/xocolata.wav,0,0,0,84,26.60324617200058,27.103874378999535,27.088190304999443,None,27.087335963799887,None,27.088190304999443,None,000,Oxford,English,0 (No idea),0 (No idea),0 (No idea),2020-03-18-2335,TransElicitation,3.2.4,59.786361329497524,Translation elicitation task,
79,tomàquet,Stimuli/Sounds/tomaquet.wav,0,1,1,78,31.616298486000233,32.11748346100103,32.1010420599996,31.616298486000233,32.10021848179986,None,32.1010420599996,31.616298486000233,000,Oxford,English,0 (No idea),0 (No idea),0 (No idea),2020-03-18-2335,TransElicitation,3.2.4,59.786361329497524,Translation elicitation task,
13,bolquer,Stimuli/Sounds/bolquer.wav,0,2,2,12,36.62981692200083,37.13183954099986,37.11414667099962,36.62981692200083,37.11390122780085,None,37.11414667099962,36.62981692200083,000,Oxford,English,0 (No idea),0 (No idea),0 (No idea),2020-03-18-2335,TransElicitation,3.2.4,59.786361329497524,Translation elicitation task,
