participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
11311,ENG-CAT,151,Catalan,UK,lluna,moon,2.265000105,0.342857142857142,0.285714285714285,different,6,49.96,1
11311,ENG-CAT,152,Catalan,UK,ma,,1.131999969,0.0666666666666666,0.277777777777777,different,2,279.65,0
11311,ENG-CAT,153,Catalan,UK,mico,freind,2.017999887,0.222222222222222,0.222222222222222,same_consonant,1,33.51,1
11311,ENG-CAT,154,Catalan,UK,mirall,view,5.101000071,0.444444444444444,0.333333333333333,same_consonant,0,24.18,1
11311,ENG-CAT,155,Catalan,UK,moneda,coin,1.700999975,0.293333333333333,0.133333333333333,different,6,9.75,0
11311,ENG-CAT,156,Catalan,UK,moto,motorbike,2.75,0.307692307692307,0.179487179487179,same_consonant,0,0.75,1
11311,ENG-CAT,157,Catalan,UK,mussol,museum,1.815999985,0.25,0.25,different,10,5.61,0
11311,ENG-CAT,158,Catalan,UK,nas,,3.48300004,0.285714285714285,0.142857142857142,same_consonant,6,69.75,1
11311,ENG-CAT,159,Catalan,UK,onada,a bird,3.267999887,0.207407407407407,0.111111111111111,different,8,21.25,0
11311,ENG-CAT,160,Catalan,UK,orella,ear,2.284999847,0,0.428571428571428,different,9,32,0
11311,ENG-CAT,161,Catalan,UK,ovella,hotel,2.849999905,0,0,different,8,13.43,0
11311,ENG-CAT,162,Catalan,UK,pa,bread,1.884000063,0.311111111111111,0,different,5,28.33,0
11311,ENG-CAT,163,Catalan,UK,papallona,papaya,4.513999939,0.216666666666666,0.166666666666666,different,0,5.51,0
11311,ENG-CAT,164,Catalan,UK,patata,potato,1.55099988,0.428571428571428,0.380952380952381,same_consonant,0,11.29,1
11311,ENG-CAT,165,Catalan,UK,pernil,ork,5.851999998,0.177777777777777,0.148148148148148,different,18,11.59,0
11311,ENG-CAT,166,Catalan,UK,peu,piece,4.300000191,0.444444444444444,0.0555555555555555,different,5,64.92,0
11311,ENG-CAT,167,Catalan,UK,pingui,penguin,1.734999895,0.615384615384615,0.256410256410256,same_consonant,0,2.88,1
11311,ENG-CAT,168,Catalan,UK,planta,plant,1.467000008,0.727272727272727,0.121212121212121,same_consonant,4,27.61,1
11311,ENG-CAT,169,Catalan,UK,plat,plate,4.134000063,0.666666666666666,0.148148148148148,same_consonant,7,25.65,1
11311,ENG-CAT,170,Catalan,UK,ploma,lead,1.349999905,0.177777777777777,0.222222222222222,different,6,6.63,0
11311,ENG-CAT,171,Catalan,UK,pollastre,chicken,2.76699996,0.307692307692307,0.153846153846153,different,0,61.73,0
11311,ENG-CAT,172,Catalan,UK,poma,cream,3.851000071,0.285714285714285,0,different,0,23.67,0
11311,ENG-CAT,173,Catalan,UK,porc,pork,2.786000013,0.571428571428571,0.285714285714285,same_consonant,,,1
11311,ENG-CAT,174,Catalan,UK,porta,door,1.433000088,0.209523809523809,0.285714285714285,different,5,292.06,1
11311,ENG-CAT,175,Catalan,UK,raspall,,0.667000055,0.386666666666666,0.133333333333333,different,2,14.16,0
11311,ENG-CAT,176,Catalan,UK,samarreta,scorpion,3.76699996,0.153846153846153,0.102564102564102,different,,,0
11311,ENG-CAT,177,Catalan,UK,sol,sun,1.71600008,0.533333333333333,0.277777777777777,same_consonant,13,69.67,1
11311,ENG-CAT,178,Catalan,UK,taronja,slice,1.464999914,0.455555555555555,0.0277777777777777,different,0,22.31,0
11311,ENG-CAT,179,Catalan,UK,tigre,tiger,4.251000166,0.4,0.4,same_consonant,0,18.53,1
11311,ENG-CAT,180,Catalan,UK,tisores,treasure,2.75,0.466666666666666,0.333333333333333,different,1,6.69,0
11311,ENG-CAT,181,Catalan,UK,tobogan,toucan,2.032999992,0.144444444444444,0.166666666666666,different,2,17.82,0
11311,ENG-CAT,182,Catalan,UK,tomaquet,,1.815999985,0.285714285714285,0.142857142857142,same_consonant,0,5.9,1
11311,ENG-CAT,183,Catalan,UK,tren,train,1.768000126,0.666666666666666,0.185185185185185,same_consonant,0,95.06,1
