participant,date,test_language,age,sex,l1,l2,l2oral,l2written,country,city,vision,impairment,location,noise,n,exclude_trials
5e85f278c880ee1edb7e96ee,2020-06-12T20:48:08.412Z,Catalan,24,,,,,,UK,London,TRUE,FALSE,1,1,86,FALSE
5e8f39008ed06f208d57df3b,2020-06-24T18:03:34.618Z,Spanish,21,,,,,,UK,Lichfield,TRUE,FALSE,1,1,30,TRUE
5e90c561bdeaf60737085250,2020-06-05T16:01:53.462Z,Catalan,18,,,Punjabi,3,1,UK,London,TRUE,FALSE,1,1,86,FALSE
5e95befc3834c10008c19c43,2020-06-05T15:36:21.439Z,Spanish,21,,,,,,UK,Lancaster,TRUE,FALSE,1,1,103,FALSE
5e9629228a7eb70aaf79c1aa,2020-06-05T12:52:18.242Z,Spanish,24,,,,,,UK,Manchester,TRUE,FALSE,1,1,103,FALSE
5e9b959c77f86e0a8314b0e8,2020-06-24T18:26:16.849Z,Spanish,19,,,Russian,3,3,UK,Birmingham,TRUE,FALSE,1,1,103,FALSE
5e9df7faf4a4e4191f1f14b0,2020-06-05T13:20:13.749Z,Spanish,23,,,,,,UK,Nottingham,TRUE,FALSE,1,1,103,FALSE
5ea186c334f3aa036bdd1c8b,2020-06-05T15:37:37.265Z,Catalan,25,,,,,,UK,Ripon,TRUE,FALSE,1,1,86,FALSE
5ea1ac832ac60d0762c238a7,2020-06-08T18:14:21.182Z,Catalan,25,,,,,,UK,Brighton,TRUE,FALSE,1,1,86,FALSE
5ea21ef214912a12fa60eb5e,2020-06-04T21:35:46.305Z,Catalan,18,,,,,,UK,Bexley,TRUE,FALSE,1,2,86,FALSE
5ea300a5733c8107ec2478a3,2020-06-08T18:32:39.926Z,Catalan,22,,,,,,UK,London,TRUE,FALSE,1,1,86,FALSE
5ea3ef637e4bd537fe45cf6c,2020-06-24T16:56:42.305Z,Catalan,19,,,,,,UK,London,TRUE,FALSE,1,1,86,FALSE
5eaca13a67ba8f30f90a2dc5,2020-06-05T15:35:12.969Z,Catalan,23,,,,,,UK,Falmouth,TRUE,FALSE,1,1,86,FALSE
5eacad0d05726e33129cbe93,2020-06-04T21:22:27.233Z,Spanish,21,,,,,,UK,Ivybridge,TRUE,FALSE,1,1,103,FALSE
5eaeeb1a716ed0081dfa8718,2020-06-08T18:15:34.774Z,Spanish,20,,,,,,UK,Several,TRUE,FALSE,1,1,103,FALSE
5eaff502f66eb1023c793616,2020-06-08T18:29:14.495Z,Catalan,19,,,,,,UK,Chelmsford,TRUE,FALSE,1,1,86,FALSE
5eb2d2df52bcce074be5583a,2020-06-04T17:19:14.050Z,Spanish,21,,,,,,UK,Belfast,TRUE,TRUE,5,1,103,FALSE
5eb3c2e29eb7cb1a6d8054bc,2020-06-05T16:22:32.021Z,Spanish,24,,,,,,UK,Grimsby,TRUE,FALSE,1,1,103,FALSE
5eb450d3f625d5290ee37303,2020-06-08T18:35:25.234Z,Catalan,22,,,,,,UK,Colchester,TRUE,FALSE,1,1,86,FALSE
5eb450d3f625d5290ee37303,2020-06-08T18:35:25.234Z,Spanish,22,,,,,,UK,Colchester,TRUE,FALSE,1,1,103,FALSE
5eb54aacca57073d0b74f0ac,2020-06-08T18:11:10.493Z,Spanish,23,,,,,,UK,Rotherham,TRUE,FALSE,1,1,103,FALSE
5eb9b011e926960deb4d6d91,2020-06-25T12:07:32.988Z,Spanish,23,,,,,,UK,Berkshire,TRUE,FALSE,1,2,103,FALSE
5eb9e9546dffac12320418e9,2020-06-11T10:20:39.483Z,Spanish,20,,,,,,UK,London,TRUE,FALSE,1,2,103,FALSE
5ebac91735226005282f48dd,2020-06-05T17:09:45.594Z,Catalan,23,,,,,,UK,Birmingham,TRUE,FALSE,1,1,86,FALSE
5ebd2a07fa52241862dbca05,2020-06-12T20:53:01.662Z,Catalan,25,,,,,,UK,Bristol,TRUE,FALSE,1,2,86,FALSE
5ebef0ede70ab7160edd7ba5,2020-06-05T12:50:32.569Z,Spanish,21,,,,,,UK,Several,TRUE,FALSE,1,1,103,FALSE
5ec27b1c7207c90574afa448,2020-06-08T18:11:04.154Z,Spanish,24,,,,2,2,UK,Bedfordshire,TRUE,FALSE,1,1,103,FALSE
5ec54a7637927134ac7d3dc3,2020-06-12T20:53:05.746Z,Catalan,18,,,,1,2,UK,London,TRUE,FALSE,1,1,86,FALSE
5ec56cd8269fcc53a3dfb6c4,2020-06-04T21:21:28.217Z,Catalan,21,,,,,,UK,Cheltenham,TRUE,FALSE,1,1,86,FALSE
5ec7e258f052ac26af7aafc5,2020-06-24T18:03:15.124Z,Spanish,23,,,,,,UK,Ashford,TRUE,FALSE,1,1,103,FALSE
5ec83d67cfe53914464d2062,2020-06-05T16:23:01.244Z,Spanish,23,,,,,,UK,Camborne,TRUE,FALSE,1,1,103,FALSE
5ec8f15fce3f413ef07d6cc5,2020-06-08T18:12:41.245Z,Catalan,21,,,,,,UK,Manchester,TRUE,FALSE,1,1,86,FALSE
5eca8f766efc6002c151bb05,2020-06-05T15:36:04.575Z,Catalan,23,,,,,,UK,Bolton,TRUE,FALSE,1,1,86,FALSE
5ece703852564823b1b07a59,2020-06-08T18:21:10.067Z,Catalan,22,,,,,,UK,Essex,TRUE,FALSE,1,1,86,FALSE
5ed0d7a61cb3e101dc72f93e,2020-06-05T12:41:09.595Z,Catalan,21,,,,1,1,UK,Nrlondon,TRUE,FALSE,1,1,86,FALSE
5ed40c8f237b5d09810ae6b5,2020-06-05T16:12:11.676Z,Catalan,23,,,,,,UK,Newcastleuk,TRUE,FALSE,1,1,86,FALSE
5ed4bba6bd73d9482bfc6170,2020-06-05T12:49:34.107Z,Catalan,25,,,,,,UK,Leeds,TRUE,FALSE,1,1,86,FALSE
5ed8bf9551f146017b7ac03e,2020-06-24T18:56:21.943Z,Spanish,20,,,,,,UK,Kettering,TRUE,FALSE,1,2,103,FALSE
5ede1449d426ce02a290fe0a,2020-06-08T22:32:00.458Z,Catalan,21,,,French,4,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ede149fcff15e03097dded2,2020-06-09T16:04:11.481Z,Catalan,23,,,,3,2,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5ede1560a80d4f02f3e6e997,2020-06-08T15:01:17.047Z,Catalan,20,,,Italian,3,3,Spain,Murcia,TRUE,FALSE,1,1,85,FALSE
5ede16d21b8bce022ee5dd32,2020-06-08T18:35:31.652Z,Catalan,25,,,,4,4,Spain,Murcia,TRUE,FALSE,1,2,85,FALSE
5ede17651b8bce028a0853b3,2020-06-17T16:10:50.022Z,Catalan,25,,,,2,4,Spain,Murcia,FALSE,FALSE,1,1,85,FALSE
5ede18e41b8bce022ee5dd40,2020-06-11T13:04:20.580Z,Catalan,19,,,French,4,3,Spain,Murcia,TRUE,FALSE,1,1,85,FALSE
