participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
11311,104,abella,/əˈbɛ.ʎə/,English,Catalan,0.0277777777777778,1.28399992,-0.141781718294316,-0.204102904832132,0.283766769673706
11311,105,aigua,/ˈaj.ɡwə/,English,Catalan,0.08,2.148999929,-0.0810102476184966,0.713853764105292,1.95042469605934
11311,106,aixeta,/əˈʃɛ.tə/,English,Catalan,0.111111111111111,0.515000105,-0.38486760099759,1.09633570949588,0.131706985202029
11311,107,amanida,/ə.məˈni.ðə/,English,Catalan,0.0408163265306122,1.25,-0.931810837079953,1.20561626532176,0.575288821855343
11311,108,ampolla,/əmˈpo.ʎə/,English,Catalan,0.0816326530612245,1.56799984,-0.876564045556482,0.777600755003721,0.711638277372247
11311,110,berenar,/bə.ɾəˈna/,English,Catalan,0.046875,4.633999825,-0.202553188970135,0.905094736800587,0.489592010616315
11311,111,bibero,/bi.βəˈɾo/,English,Catalan,0.0165289256198347,3.867000103,0.211797747455899,0.203877836917833,-0.0554638035187925
11311,112,bici,/ˈbi.si/,English,Catalan,0.125,1.032000065,0.739404606505048,-0.0511101266758919,0.458903715932458
11311,113,boca,/ˈbo.kə/,English,Catalan,0.04,0.5,-1.35721113181068,0.905094736800587,1.19277394668457
11311,114,bol,/ˈbɔɫ/,English,Catalan,0.125,2.434000015,1.17348653990375,-1.48541742189061,0.317867707185885
11311,115,bolet,/buˈɫɛt/,English,Catalan,0.0555555555555556,4.833999872,-0.202553188970135,0.841347745902154,0.454948168311897
11311,116,bolquer,/buɫˈke/,English,Catalan,0.0408163265306122,4.667999983,-1.53952554383813,0.560860985949055,-0.549858300840245
11311,117,boto,/buˈto/,English,Catalan,0,5.268000126,0.931847596978469,-0.739577628378957,0.514328828280412
11311,118,bou,/bou/,English,Catalan,0,3.185000181,1.49904798995277,-0.56108605386335,0.331352547961508
11311,119,caixa,/ˈka.ʃə/,English,Catalan,0.0177514792899408,7.865999937,-0.62795348370086,0.522612791409996,1.01029854583267
11311,120,cama,/ˈka.mə/,English,Catalan,0,0.500999928,-0.931810837079953,1.47881765488647,0.794841795364137
11311,121,camisa,/ˈka.mə/,English,Catalan,0,0.615999937,-0.931810837079953,0.713853764105292,0.556167987811791
11311,122,casa,/ˈka.zə/,English,Catalan,0.04,1.250999928,-0.445639071673405,-0.0511101266758919,2.27159763135835
11311,123,cavall,/kə'baʎ/,English,Catalan,0,1.600999832,-1.1505881315129,1.32582487673024,1.06243287663773
11311,124,cirera,/siˈɾe.ɾə/,English,Catalan,0.0204081632653061,2.750999928,-0.202553188970135,0.0126368642225377,-0.205812514918272
11311,125,colom,/kuˈlom/,English,Catalan,0.0277777777777778,2.28399992,-0.713033542647008,0.101882651480341,0.27302754633159
11311,126,corona,/kuˈɾo.nə/,English,Catalan,0.0833333333333333,5.368000031,0.697969512862442,-0.497339062964917,0.520322077338734
11311,127,cotxe,/ˈkɔ.t͡ʃə/,English,Catalan,0.04,1.182999849,0.261914479766477,-0.14673061302354,1.62310291263137
11311,128,cuc,/ˈkuk/,English,Catalan,0,4.251000166,-1.53952554383813,1.47881765488647,0.335343545585205
11311,129,dit,/dit/,English,Catalan,0,1.117000103,-0.810267895728314,0.943342931339646,2.19938289500445
11311,130,entrepa,/ˌen.tɾəˈpa/,English,Catalan,0.0204081632653061,2.899999857,-0.978558122215198,0.659213486192347,0.498850124924867
11311,131,esponja,/əsˈpɔn.ʒə/,English,Catalan,0,4.082999945,0.630884123155372,-0.87071429537002,-0.120732993702412
11311,133,estruc,/əsˈtɾus/,English,Catalan,0.0612244897959184,1.332999945,1.837994925999e-05,-0.56108605386335,-0.384006489512613
11311,134,flor,/ˈfɫɔ/,English,Catalan,0.111111111111111,0.23300004,0.465932988463867,0.0253862624022265,0.839510997843777
11311,135,formiga,/furˈmi.ɡə/,English,Catalan,0,0.5,-1.53952554383813,0.768494042018232,-0.0815733944395088
