participant,group,n,n_valid,n_correct,prop_correct,test_language,age,date,l2,l2oral,l2written,catalan_oral,catalan_written,spanish_oral,spanish_written,sex,vision,impairment,country,invalid_participant_trials,valid_participant
5e52fa4bc6506d30c686471e,ENG-SPA,103,102,15,0.147058823529412,Spanish,24,2020-06-04T21:14:10.671Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e60db57fdef8001c1fdc6f7,ENG-SPA,103,103,14,0.135922330097087,Spanish,25,2020-06-05T15:35:02.201Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e642125757e611ae1a52811,ENG-SPA,103,75,14,0.186666666666667,Spanish,18,2020-06-24T17:57:42.669Z,None,1,1,1,1,1,1,Male,TRUE,FALSE,UK,TRUE,FALSE
5e6571b32013562f77434b40,ENG-SPA,103,102,31,0.303921568627451,Spanish,24,2020-06-08T18:10:09.378Z,None,,,1,1,2,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5e71e92d7c127310819224be,ENG-SPA,103,100,20,0.2,Spanish,24,2020-06-24T18:00:02.190Z,None,,,1,1,2,2,Female,TRUE,FALSE,UK,FALSE,TRUE
5e73ed268c8f27364de746c5,ENG-CAT,86,84,9,0.107142857142857,Catalan,21,2020-06-04T18:02:40.686Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e788a0aecd8c5000980308e,ENG-SPA,103,103,11,0.106796116504854,Spanish,19,2020-06-05T16:22:52.600Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e7b804f9379140478c688da,ENG-CAT,86,82,12,0.146341463414634,Catalan,24,2020-06-05T16:23:55.322Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5e7d34b1a7cdf60009521d2a,ENG-CAT,86,86,19,0.22093023255814,Catalan,20,2020-06-04T21:25:38.765Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5e811195ec31d30008690bcd,ENG-CAT,86,71,14,0.197183098591549,Catalan,21,2020-06-05T15:36:42.777Z,None,,,2,1,2,2,Female,TRUE,FALSE,UK,FALSE,TRUE
5e84efb71d17ad0c8430495a,ENG-SPA,103,103,26,0.252427184466019,Spanish,21,2020-06-24T17:53:08.817Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e85f278c880ee1edb7e96ee,ENG-CAT,86,86,19,0.22093023255814,Catalan,24,2020-06-12T20:48:08.412Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e8f39008ed06f208d57df3b,ENG-SPA,30,26,7,0.269230769230769,Spanish,21,2020-06-24T18:03:34.618Z,None,,,1,1,2,1,Male,TRUE,FALSE,UK,TRUE,FALSE
5e90c561bdeaf60737085250,ENG-CAT,86,85,8,0.0941176470588235,Catalan,18,2020-06-05T16:01:53.462Z,Punjabi,3,1,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e95befc3834c10008c19c43,ENG-SPA,103,103,20,0.194174757281553,Spanish,21,2020-06-05T15:36:21.439Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5e9629228a7eb70aaf79c1aa,ENG-SPA,103,103,22,0.213592233009709,Spanish,24,2020-06-05T12:52:18.242Z,None,,,2,1,2,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5e9b959c77f86e0a8314b0e8,ENG-SPA,103,102,18,0.176470588235294,Spanish,19,2020-06-24T18:26:16.849Z,Russian,3,3,1,1,2,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5e9df7faf4a4e4191f1f14b0,ENG-SPA,103,15,8,0.533333333333333,Spanish,23,2020-06-05T13:20:13.749Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,TRUE,FALSE
5ea186c334f3aa036bdd1c8b,ENG-CAT,86,85,13,0.152941176470588,Catalan,25,2020-06-05T15:37:37.265Z,None,,,1,1,2,2,Female,TRUE,FALSE,UK,FALSE,TRUE
5ea1ac832ac60d0762c238a7,ENG-CAT,86,86,19,0.22093023255814,Catalan,25,2020-06-08T18:14:21.182Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ea21ef214912a12fa60eb5e,ENG-CAT,86,86,15,0.174418604651163,Catalan,18,2020-06-04T21:35:46.305Z,None,,,1,1,2,2,Female,TRUE,FALSE,UK,FALSE,TRUE
5ea300a5733c8107ec2478a3,ENG-CAT,86,86,12,0.13953488372093,Catalan,22,2020-06-08T18:32:39.926Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5ea3ef637e4bd537fe45cf6c,ENG-CAT,86,86,18,0.209302325581395,Catalan,19,2020-06-24T16:56:42.305Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eaca13a67ba8f30f90a2dc5,ENG-CAT,86,80,18,0.225,Catalan,23,2020-06-05T15:35:12.969Z,None,,,2,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5eacad0d05726e33129cbe93,ENG-SPA,103,103,11,0.106796116504854,Spanish,21,2020-06-04T21:22:27.233Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eaeeb1a716ed0081dfa8718,ENG-SPA,103,103,15,0.145631067961165,Spanish,20,2020-06-08T18:15:34.774Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eaff502f66eb1023c793616,ENG-CAT,86,86,20,0.232558139534884,Catalan,19,2020-06-08T18:29:14.495Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5eb2d2df52bcce074be5583a,ENG-SPA,103,68,15,0.220588235294118,Spanish,21,2020-06-04T17:19:14.050Z,None,,,1,1,2,1,Female,TRUE,TRUE,UK,TRUE,FALSE
5eb3c2e29eb7cb1a6d8054bc,ENG-SPA,103,63,16,0.253968253968254,Spanish,24,2020-06-05T16:22:32.021Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,TRUE,FALSE
5eb450d3f625d5290ee37303,ENG-CAT,86,86,14,0.162790697674419,Catalan,22,2020-06-08T18:35:25.234Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eb450d3f625d5290ee37303,ENG-CAT,86,86,14,0.162790697674419,Spanish,22,2020-06-08T18:35:25.234Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eb450d3f625d5290ee37303,ENG-SPA,103,103,24,0.233009708737864,Catalan,22,2020-06-08T18:35:25.234Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eb450d3f625d5290ee37303,ENG-SPA,103,103,24,0.233009708737864,Spanish,22,2020-06-08T18:35:25.234Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eb54aacca57073d0b74f0ac,ENG-SPA,103,102,24,0.235294117647059,Spanish,23,2020-06-08T18:11:10.493Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5eb9b011e926960deb4d6d91,ENG-SPA,103,103,14,0.135922330097087,Spanish,23,2020-06-25T12:07:32.988Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5eb9e9546dffac12320418e9,ENG-SPA,103,12,3,0.25,Spanish,20,2020-06-11T10:20:39.483Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,TRUE,FALSE
5ebac91735226005282f48dd,ENG-CAT,86,80,10,0.125,Catalan,23,2020-06-05T17:09:45.594Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5ebd2a07fa52241862dbca05,ENG-CAT,86,85,15,0.176470588235294,Catalan,25,2020-06-12T20:53:01.662Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5ebef0ede70ab7160edd7ba5,ENG-SPA,103,103,18,0.174757281553398,Spanish,21,2020-06-05T12:50:32.569Z,None,,,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
